Comment ID,Type,Affiliation,Location,Title,Date,Category,Rated by,Rating,Body
44398,post,IBM Employee,United States,Social listening or social intelligence?,2/9/2011 15:46, None ,1,5,How do we progress from using social tools to listen better to our customers to creating organizations that consistently respond and adjust to what they are hearing?
44413,reply,IBM Employee,Sweden,Jam is the answer,2/9/2011 16:07, None ,1,5,Not sure I get your question ? But if you are asking how we could listen better to our customers I beleive that Jamming is one answer to this.
45377,reply,IBM Employee,Netherlands,Can we do a permanent Jam for the world?,2/11/2011 12:47, Best practices & lessons learned ,1,5,Now that would be value add!
31527,reply,IBM Employee,United Kingdom,Continuous Jamming,2/11/2011 16:00, Processes & operational ,0,0,"I agree, this would be a great way for organizations, including government https://www.collaborationjam.com/minijam3/jam/discussionThread.do?gt=true&jamId=83289&f=75424&c=45061, to filter and capture improvements. It would need automated summary/deletion/archive but the basics are here."
44452,reply,IBM Employee,United States,More details?,2/9/2011 16:43, Best practices & lessons learned ,0,0,"Ben, this is a rich question. Can you provide more details as others may want to provide comments."
44333,reply,IBM Employee,United States,refer to post on Product Reviews,2/9/2011 17:02, Policy & standards ,0,0,I think we are missing opportunities to turn product reviews into social intelligence about our products and programs....We can get much of our intelligence right on our site...using product reviews as a key method...not the only method...but a key method...:-)
44545,reply,IBM Employee,United States,A bit of elaboration,2/9/2011 19:09, None ,2,4,"To elaborate a little, we might define ""social listening"" as the act of using online tools to tune ourselves to conversations about our companies, products, services, solutions, etc. We might define ""social intelligence"" as more of a closed-loop state in which we are not only listening to what our customers/partners/employee are saying about us and our products, but responding to that information by adjusting how we make, distribute, market and support our products - and understand that we are doing this consistently across the enterprise by measuring and monitoring this closed-loop process."
45074,reply,IBM Employee,United States,Listen first to filter the noise,2/10/2011 20:36, Strategic ,0,0,"Social intelligence is a way companies will get value from Social Business: Listen to what your customers are saying, filter out what is important for your business, and quickly take action as an integral part of your business process.  You ask a good question ... how to get started? There are so many aspects that need to align to make this work. After giving it some thought, I'd suggest that the most critical element is to create a 'pull' from business owners with a critical need for social listening input ... rather than trying to 'push' this to them. One way to start to convince them is to provide them with filtered and prioritized conversations that are relevant to them. Once they see the impact and potential value to their process, it can drive a sense of urgency for the need to include the social voice of the customer."
45331,reply,IBM Employee,United States,"Continuous, Actionable Insight",2/10/2011 22:19, Processes & operational ,5,5,"This is a critically important topic for businesses that want to realize the full value of monitoring millions of conversations. Let's assume for a moment that already you're using some type of social media analytics tool to mine and filter all this data, perhaps also getting trend and even sentiment data. Then what?  Ideally, that data need to find other relevant data, which then puts it in context and can be routed to those who need it. (And you may not know you need it until it's there.)  So  ...   businesses need some type of feedback framework or exchange that can continually ingest all this real-time insight and subsequently route relevant information to those that need to improve products and services, craft more targeted campaigns, produce better market research, or enhance customer experiences.  If it's not actionable, it's just noise."
31371,reply,IBM Employee,United States,The power of one among the many,2/11/2011 14:20, People & culture ,3,5,"I must challenge the notion that large amounts of data need to be analyzed and millions of conversations shifted through before value can be realized from social or action taken. Social analytics tools can be extremely powerful. But organizations and individuals should not discount the power of social business if they don't have the tools and resources to mine millions of conversations or connections. Many times it is the single idea among the many that sparks the next big innovation. It's the individual connection among the masses that forms a partnership, combines resources or starts a new market.  The collective wisdom of a group can be a powerful force in business, but the power of the ONE (the one connection, the one good idea, the one relationship) among the many can sometimes be just as powerful. That's the beauty of social business - - it doesn't have to be one or the other. It can and  ...   is many different things to many different organizations and individuals."
45428,reply,IBM Employee,United States,finding those valuable nuggests,2/11/2011 14:36, None ,1,5,"Exactly right. The challenge, of course, is recognizing those valuable ideas, and making sure that they don't get lost amidst all the noise. I believe that there can be social software solutions to help identify and surface the good ideas."
