"","variable","label"
"1","id","Response ID"
"2","empl_pre_harm","Employment status before the pandemic, harmonized"
"3","empl_pre_w1a","Before the COVID-19 pandemic, were you employed?"
"4","empl_pre_w1b","Before the COVID-19 pandemic, what was your employment status?"
"5","worker_pre","Worker before the pandemic, derived"
"6","jobcat_pre_harm","Job category before the pandemic, harmonized"
"7","jobcat_pre_w1a","Which of the following categories best described your primary job before COVID-19?"
"8","jobcat_pre_w1b","Which of the following categories best described your primary job before COVID-19?"
"9","ind_pre_w1b","Was your primary job in any of the following industries?"
"10","empl_now_harm","Employment status now, harmonized"
"11","empl_now_w1a","Are you working now?"
"12","empl_now_w1b","Are you working now?"
"13","worker_now","Worker now, derived"
"14","ind_now_harm","Industry now, harmonized"
"15","job_change","Did you change jobs as a result of COVID-19?"
"16","jobchangejs","Job change, derived"
"17","ind_now_1_w1a","Are you employed in one of the following industries? - medical_wrk"
"18","ind_now_2_w1a","Are you employed in one of the following industries? - grocery_wrk"
"19","ind_now_3_w1a","Are you employed in one of the following industries? - transport_wrk"
"20","ind_now_4_w1a","Are you employed in one of the following industries? - delivery_wrk"
"21","ind_now_5_w1a","Are you employed in one of the following industries? - mainten_wkr"
"22","ind_now_6_w1a","Are you employed in one of the following industries? - utility_wkr"
"23","ind_now_7_w1a","Are you employed in one of the following industries? - otherindustry_wkr"
"24","ind_now_w1b","Is your current primary job in any of the following industries?"
"25","jobcat_now_w1b","Which of the following categories best describes your primary job now?"
"26","student","Were you a student in Spring 2020? (asked about present time not in Spring 2020 in convenience sample)"
"27","studentjs","Student, derived"
"28","both_pre","Both worker before the pandemic and student now (student not asked before pandemic separately)"
"29","both_now","Both worker and student now"
"30","restric_1_w1b","Which restrictions currently exist in your region? Please select all that apply. - School/university closures"
"31","restric_2_w1b","Which restrictions currently exist in your region? Please select all that apply. - Stay at home order"
"32","restric_3_w1b","Which restrictions currently exist in your region? Please select all that apply. - Closure of non-essential shops and businesses"
"33","restric_4_w1b","Which restrictions currently exist in your region? Please select all that apply. - Mask requirement in public spaces"
"34","restric_5_w1b","Which restrictions currently exist in your region? Please select all that apply. - Ban on large gatherings (e.g. more than 10 individuals)"
"35","wfh_pre","Before the COVID-19 pandemic, did you have the option to work from home, at least some of the time?"
"36","wfh_pre_freq","Before the COVID-19 pandemic, how often did you usually work from home?"
"37","bzvm_pre","Before the COVID-19 pandemic, how often did you usually conduct/participate in online meetings for work purposes? (conference calls not included in convenience sample)"
"38","workload","Has your paid workload changed since the beginning of the COVID-19 pandemic? (only refers to workload, not paid workload, in convenience sample)"
"39","wfh_now","In the past 7 days, did you have the option to work from home?"
"40","wfh_now_days","In the past 7 days, how many days did you work from home?"
"41","wfh_now_days_miss_desc","Reason for missing values in wfh_now_days"
"42","bzvm_now","In the past 7 days, how many days did you conduct/participate in online meetings for work purposes? (conference calls not included in convenience sample)"
"43","bzvm_now_miss_desc","Reason for missing values in bzvm_now"
"44","prod_change","How has your productivity changed since the beginning of the COVID-19 pandemic? (only asked of people now working from home in convenience sample)"
"45","prod_decr_reason_1","Why has your productivity decreased? Select all that apply. - Selected Choice - Childcare"
"46","prod_decr_reason_2","Why has your productivity decreased? Select all that apply. - Selected Choice - Elder/other dependent care"
"47","prod_decr_reason_3","Why has your productivity decreased? Select all that apply. - Selected Choice - Need to care for sick household member"
"48","prod_decr_reason_4","Why has your productivity decreased? Select all that apply. - Selected Choice - More distractions at home"
"49","prod_decr_reason_5","Why has your productivity decreased? Select all that apply. - Selected Choice - Difficult to communicate with co-workers"
"50","prod_decr_reason_6","Why has your productivity decreased? Select all that apply. - Selected Choice - Need equipment or technology not available at home"
