id labor	Valdkond	VK sort	Paneel	P kood	Analüüsi nimetus	A kood	Kehtiv	Kehtiv lõpp	Tellitav	Vahendatav	T lühend	Kasutatav nimetus	T Nimetus	Vastuskood	T Ühik	Labor ühik	Seade	Diagnostikumi_tootja	Sort	Risttabel	id algandmed	Loinc #	Component	Property	Time Aspects	System	Scale	Method	Ex UCUM Units	Ex Units	%99+ Common Tests	Class	Long Common Name	Short Name	Type	Order/Obs	Doc/Section	Ext
1	HE	1			Hemogramm 3-osalise leukogrammiga	CBC_3_DIFF-X-PNL	JAH		JAH	EI	B-CBC-3Diff	Hemogramm 3-osalise leukogrammiga	Hemogramm kolmeosalise leukogrammiga	Paneel					3	EI/Paneel	2124	L-2124																
2	HE	1			Hemogramm 5-osalise leukogrammiga	CBC_5_DIFF-X-PNL	JAH		JAH	EI	B-CBC-5Diff	Hemogramm 5-osalise leukogrammiga	Hemogramm viieosalise leukogrammiga	Paneel					4	EI/Paneel	12	57021-8	CBC W Auto Differential panel	-	Pt	Bld	Qn					PANEL.HEM/BC	CBC W Auto Differential panel in Blood	CBC W Auto Diff Bld	1	Order		
3	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Mehe terviseriskid vanusele kuni 35; Mehe terviseriskid vanusele üle 35; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_RISK_35MEN-X-PNL; HEALTH_RISK_35+MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	WBC	CBC_WBC-TST	JAH		EI	EI	B-WBC	WBC	Leukotsüüdid	QN	E9/L	E9/L			10	JAH/Võrreld	2	6690-2	Leukocytes	NCnc	Pt	Bld	Qn	Automated count	10*3/uL	10^9/L		HEM/BC	Leukocytes [#/volume] in Blood by Automated count	WBC # Bld Auto	1	Observation		
4	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Last sooviva naise pakett; Mehe tervisekontroll; Mehe terviseriskid vanusele kuni 35; Mehe terviseriskid vanusele üle 35; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_RISK_35MEN-X-PNL; HEALTH_RISK_35+MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	RBC	CBC_RBC-TST	JAH		EI	EI	B-RBC	RBC	Erütrotsüüdid	QN	E12/L	E12/L			11	JAH/Võrreld	3	789-8	Erythrocytes	NCnc	Pt	Bld	Qn	Automated count	10*6/uL	10^12/L;million/mm3	2,22%	HEM/BC	Erythrocytes [#/volume] in Blood by Automated count	RBC # Bld Auto	1	Observation		
5	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Mehe terviseriskid vanusele kuni 35; Mehe terviseriskid vanusele üle 35; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_RISK_35MEN-X-PNL; HEALTH_RISK_35+MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	Hb	CBC_HB-TST	JAH		EI	EI	B-Hb	Hb	Hemoglobiin	QN	g/L	g/L			12	JAH/Võrreld	4	718-7	Hemoglobin	MCnc	Pt	Bld	Qn		g/dL		2,32%	HEM/BC	Hemoglobin [Mass/volume] in Blood	Hgb Bld-mCnc	1	Both		
6	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Mehe terviseriskid vanusele kuni 35; Mehe terviseriskid vanusele üle 35; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_RISK_35MEN-X-PNL; HEALTH_RISK_35+MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	Hct	CBC_HCT-TST	JAH		EI	EI	B-Hct	Hct	Hematokrit	QN	%	%			13	JAH/Võrreld	5	4544-3	Hematocrit	VFr	Pt	Bld	Qn	Automated count	%			HEM/BC	Hematocrit [Volume Fraction] of Blood by Automated count	Hct VFr Bld Auto	1	Both		
7	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Mehe terviseriskid vanusele kuni 35; Mehe terviseriskid vanusele üle 35; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett; Väsimuse pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_RISK_35MEN-X-PNL; HEALTH_RISK_35+MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL; TIREDNESS-X-PNL	MCV	CBC_MCV-TST	JAH		EI	EI	B-MCV	MCV	Erütrotsüütide keskmine maht	QN	fL	fl			14	JAH/Võrreld	6	787-2	Erythrocyte mean corpuscular volume	EntVol	Pt	RBC	Qn	Automated count	fL	fL		HEM/BC	Erythrocyte mean corpuscular volume [Entitic volume] by Automated count	MCV RBC Auto	1	Observation		
8	HE	1	2.tüüpi diabeetiku jälgimise pakett; Activate pakett; Alkoholi mõju pakett; Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Küpse naise tervisekontroll; Last sooviva naise pakett; Mehe tervisekontroll; Mehe terviseriskid vanusele kuni 35; Mehe terviseriskid vanusele üle 35; Naise tervise- ja ilupakett; Noorsportlane Pluss pakett; Noorsportlase pakett; Organismi vastupanuvõimet hindav pakett; Podagrahaige jälgimise pakett; Reumaatilise haige jälgimise pakett; Südamepakett; Südamepakett pluss; Tähelepanuvõime ja kognitiivse võimekuse pakett; Taimetoitlase pakett; Teismelise tervisekontroll; Terviseriski pakett; Terviseriski pakett lapsele; Tervisesportlase pakett	T2D-X-PNL; ACTIVATE-X-PNL; ALC_IMPACT-X-PNL; ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; HEALTH_RISK_WOMEN-X-PNL; MOTHER_TO_BE-X-PNL; HEALTH_RISK_MEN-X-PNL; HEALTH_RISK_35MEN-X-PNL; HEALTH_RISK_35+MEN-X-PNL; HEALTH_BEAUTY-X-PNL; JUNIOR_ATHLETE_PLUS-X-PNL; JUNIOR_ATHLETE-X-PNL; IMMUNE_RESISTANCE-X-PNL; GOUT_PATIENT-X-PNL; RHEUMA_PATIENT-X-PNL; HEART-X-PNL; HEART_PLUS-X-PNL; ATTENTION_COGNITIVE-X-PNL; VEGETARIAN-X-PNL; TEENAGER_HEALTH-X-PNL; HEALTH_RISK-X-PNL; HEALTH_RISK_CHILD-X-PNL; ATHLETES-X-PNL	MCH	CBC_MCH-TST	JAH		EI	EI	B-MCH	MCH	Keskmine hemoglobiin erütrotsüüdis	QN	pg	pg			15	JAH/Võrreld	7	785-6	Erythrocyte mean corpuscular hemoglobin	EntMass	Pt	RBC	Qn	Automated count	pg	pg	2,22%	HEM/BC	Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count	MCH RBC Qn Auto	1	Observation		
9	HE	1	Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga	CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL	MCHC	CBC_MCHC-TST	JAH		EI	EI	B-MCHC	MCHC	Keskmine hemoglobiini kontsentratsioon erütrotsüüdis	QN	g/L	g/L			16	JAH/Võrreld	8	786-4	Erythrocyte mean corpuscular hemoglobin concentration	MCnc	Pt	RBC	Qn	Automated count	g/dL		2,22%	HEM/BC	Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count	MCHC RBC Auto-mCnc	1	Observation		
10	HE	1	Aneemia pakett; Hemogramm 3-osalise leukogrammiga; Hemogramm 5-osalise leukogrammiga; Taimetoitlase pakett	ANEMIA-X-PNL; CBC_3_DIFF-X-PNL; CBC_5_DIFF-X-PNL; VEGETARIAN-X-PNL	RDW-CV	CBC_RDW-TST	JAH		EI	EI	B-RDW-CV	RDW-CV	Erütrotsüütide suurusjaotuvus	QN	%	%			17	JAH/Võrreld	9	788-0	Erythrocyte distribution width	Ratio	Pt	RBC	Qn	Automated count	%	%		HEM/BC	Erythrocyte distribution width [Ratio] by Automated count	RDW RBC Auto-Rto	1	Observation		
