"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
subject_id,informed_consent,,text,"Subject ID",,,,,,,,,,,,,
screening_number,informed_consent,"Informed Consent",text,"Screening number",,,,,,,,,,,,,
subject_initials,informed_consent,,text,"Subject Initials",,,,,,,,,,,,,
visitdate,informed_consent,,text,"Date of Visit               ",,,date_dmy,,,,,y,,,,,
icfdate,informed_consent,,text,"Date and time Informed Consent signed by subject:",,,datetime_dmy,,,,,y,,,,,
icfcopy,informed_consent,,yesno,"Copy of informed Consent provided to subject",,,,,,,,y,RH,,,,
icfdate_provided,informed_consent,,text,"Date Informed Consent was provided to subject:",,,date_dmy,,,y,"[icfcopy] = '1'",y,RH,,,,
ics_signed,inclusion_criteria,,yesno,"Signed written consent or witnessed oral consent in the case of illiteracy, prior to undertaking any trial related procedures.",,,,,,,,y,RH,,,,
dob,inclusion_criteria,,text,"Date of Birth",,,date_ymd,,,y,,y,,,,,
age,inclusion_criteria,,calc,"Age of patient","rounddown(datediff([dob], 'today', 'y'))",,,,,,,,,,,,
ageover18,inclusion_criteria,,yesno,"Male or female, aged 18 years or over.",,,,,,,,y,RH,,,,
body_weight,inclusion_criteria,,yesno,"Body weight (in light clothing and no shoes) ≥ 30 kg.",,,,,,,,y,RH,,,,
rif_resistant,inclusion_criteria,,radio,"MDR‐TB subjects should be resistant to rifampicin by rapid sputum based test (may be sensitive or resistant to isoniazid).","1, Yes | 0, No | 2, NA",,,,,,,y,RH,,,,
cxr_pulmonar_co,inclusion_criteria,,yesno,"A chest x‐ray which in the opinion of the investigator is compatible with pulmonary TB.",,,,,,,,y,RH,,,,
non_childbearing,inclusion_criteria,,yesno,"Be of non‐childbearing potential or using effective methods of birth control, as defined below:",,,,,,,,y,RH,,,,
critically_ill,exclusion_criteria,,yesno,"Is critically ill and, in the judgment of the investigator, has a diagnosis likely to result in death during the trial or the follow‐up period, such as schizophrenia, schizoaffective disorder or psychotic disorder ",,,,,,,,y,RH,,,,
allergy_history,exclusion_criteria,,yesno,"History of allergy or hypersensitivity to any of the trial IMP or related substances, or suspected hypersensitivity to NAC.",,,,,,,,y,RH,,,,
pregnant,exclusion_criteria,,radio,"Patient is pregnant as indicated by urinary pregnant test (UPT).","0, No | 1, Yes | 2, NA",,,,,,,y,RH,,,,
cd4,exclusion_criteria,,radio,"CD4+ count < 100 cells/μL;","1, Yes | 0, No | 2, NA",,,,,,,y,RH,,,,
karno_score,exclusion_criteria,,radio,"Karnofsky score <60% ","1, Yes | 0, No | 2, NA",,,,,,,y,RH,,,,
antifungal,exclusion_criteria,,radio,"Received intravenous antifungal medication within the last 90 days;","1, Yes | 0, No | 2, NA",,,,,,,,RH,,,,
who_clinicalstage,exclusion_criteria,,radio,"WHO Clinical Stage 4 HIV disease ","1, Yes | 0, No | 2, NA",,,,,,,y,RH,,,,
pathology_cns,exclusion_criteria,,yesno,"Patient has previous or existing pathology of the central nervous system with potential to impact auditory pathways (i.e. major head trauma, meningitis, encephalitis, brain metastasis, vestibular schwannoma)",,,,,,,,y,RH,,,,
participated_in_ct,exclusion_criteria,,yesno,"Having participated in other clinical trials with investigational agents within 8 weeks prior to trial start or currently enrolled in an investigational trial.",,,,,,,,y,RH,,,,
diseases_conditions,exclusion_criteria,,yesno,"Any diseases or conditions in which the use of the standard MDR-TB drugs or any of their components is contraindicated,including but not limited to allergy to any MDR-TB drug, their component or to the IMP.",,,,,,,,y,RH,,,,
creati9,laboratory_abnormalities,,yesno,"Creatinine grade 2 or greater (>1.5 times upper limit of normal [ULN])",,,,,,,,y,RH,,,,
crcl,laboratory_abnormalities,,yesno,"Creatinine clearance (CrCl) level less than 30 mLs/min according to the Cockcroft‐Gault Formula",,,,,,,,y,RH,,,,
hb,laboratory_abnormalities,,yesno,"Haemoglobin grade 4 (< 6.5 g/dL)",,,,,,,,y,RH,,,,
platelets,laboratory_abnormalities,,yesno,"Platelets grade 3 or greater (under 50x109 cells/L/ 50 000/mm3)",,,,,,,,y,RH,,,,
serum_potassium,laboratory_abnormalities,,yesno,"Serum potassium less than the lower limit of normal for the laboratory. This may be repeated once.",,,,,,,,y,RH,,,,
ast,laboratory_abnormalities,,yesno,"Aspartate aminotransferase (AST) grade 3 or greater (≥3.0 x ULN) ",,,,,,,,y,RH,,,,
alt,laboratory_abnormalities,,yesno,"Alanine aminotransferase (ALT) grade 3 or greater (≥3.0 x ULN)",,,,,,,,y,RH,,,,
alp,laboratory_abnormalities,,yesno,"Alkaline phosphatase (ALP): grade 4 (greater than 8.0 X ULN) or Grade 3 (greater than or equal 3.0 - 8.0X ULN) must be discussed with abd approved by the sponsor Medical Monitor.
",,,,,,,,y,RH,,,,
