word,n,
reflux,37010,
gerd,23059,
symptoms,17427,
esophageal,14500,
ph,13859,
disease,13586,
gastroesophageal,11285,
acid,10471,
treatment,9229,
fundoplication,6652,
gastric,6221,
surgery,6137,
significant,6047,
oesophageal,6020,
esophagitis,5995,
age,5899,
time,5632,
children,5345,
symptom,5309,
monitoring,5019,
clinical,4952,
therapy,4917,
esophagus,4795,
ppi,4702,
heartburn,4689,
ger,4658,
laparoscopic,4500,
lower,4480,
risk,4305,
score,4230,
endoscopy,3712,
prevalence,3634,
endoscopic,3479,
gastro,3399,
dysphagia,3208,
exposure,3160,
life,3079,
antireflux,3040,
diagnosis,3008,
quality,3008,
scores,2991,
pylori,2989,
postoperative,2980,
pressure,2961,
barrett's,2928,
median,2905,
episodes,2851,
test,2805,
positive,2804,
questionnaire,2797,
pump,2779,
infants,2773,
proton,2762,
hernia,2653,
nissen,2640,
chronic,2634,
upper,2601,
presence,2584,
erosive,2581,
severe,2578,
procedure,2575,
common,2543,
impedance,2541,
cough,2504,
complications,2493,
lpr,2481,
medical,2476,
population,2461,
severity,2460,
association,2365,
sphincter,2357,
gastrointestinal,2326,
surgical,2315,
manometry,2297,
frequency,2248,
pain,2247,
regurgitation,2172,
asthma,2170,
daily,2169,
hiatal,2153,
assessed,2138,
effect,2050,
events,1999,
health,1998,
improvement,1996,
nerd,1970,
incidence,1967,
baseline,1961,
symptomatic,1958,
omeprazole,1957,
effective,1955,
healthy,1954,
les,1930,
distal,1917,
weight,1857,
gord,1852,
sleep,1807,
body,1794,
hospital,1765,
assess,1747,
motility,1732,
grade,1683,
placebo,1673,
low,1629,
preoperative,1608,
duration,1598,
proximal,1597,
bmi,1594,
negative,1594,
respiratory,1587,
care,1562,
effects,1545,
ppis,1543,
function,1532,
diagnostic,1526,
prospective,1506,
management,1499,
post,1497,
standard,1496,
parameters,1477,
levels,1462,
inhibitor,1461,
relationship,1457,
efficacy,1454,
infection,1448,
dose,1428,
inhibitors,1412,
medication,1407,
short,1394,
consecutive,1389,
oesophagitis,1387,
values,1386,
functional,1383,
ratio,1378,
week,1362,
evidence,1348,
regression,1342,
sensitivity,1337,
cohort,1322,
mucosal,1315,
operation,1300,
completed,1282,
objectives,1278,
mucosa,1269,
history,1268,
rates,1265,
retrospective,1265,
assessment,1254,
chest,1247,
testing,1246,
laryngopharyngeal,1230,
length,1229,
pepsin,1226,
frequent,1217,
reduced,1211,
emptying,1207,
procedures,1205,
enrolled,1197,
percentage,1197,
dyspepsia,1196,
trial,1194,
cancer,1190,
esomeprazole,1186,
development,1185,
resolution,1185,
investigate,1179,
operative,1175,
participants,1172,
factor,1171,
twenty,1166,
kg,1161,
women,1155,
oesophagus,1153,
lung,1152,
laryngeal,1150,
due,1141,
level,1137,
repair,1134,
loss,1131,
syndrome,1127,
design,1124,
rsi,1123,
received,1120,
required,1119,
recurrent,1112,
anti,1109,
impact,1108,
obtained,1107,
technique,1106,
conducted,1098,
correlated,1098,
criteria,1095,
specific,1095,
statistically,1089,
recorded,1086,
failure,1082,
obesity,1078,
detected,1076,
compare,1063,
pulmonary,1059,
change,1057,
determined,1055,
junction,1055,
mass,1049,
aspiration,1047,
adenocarcinoma,1044,
single,1043,
month,1039,
investigated,1030,
abdominal,1026,
ml,1026,
aimed,1021,
male,1021,
method,1021,
demonstrated,1020,
developed,1020,
individuals,1017,
average,1013,
complete,1012,
mild,1010,
purpose,1007,
stomach,999,
0.0001,996,
identify,992,
typical,990,
interval,989,
feeding,978,
odds,972,
pre,970,
ambulatory,965,
refractory,952,
ii,945,
obese,944,
lansoprazole,938,
induced,937,
persistent,931,
potential,930,
percent,929,
mm,925,
initial,920,
oral,920,
approach,918,
combined,916,
recurrence,910,
examined,908,
frequently,907,
relief,907,
metaplasia,902,
bile,899,
prospectively,899,
expression,898,
female,898,
gi,898,
moderate,898,
cost,897,
reduction,897,
position,892,
previous,881,
hundred,878,
probe,876,
biopsies,873,
confidence,873,
decrease,869,
pathological,868,
volunteers,868,
activity,866,
double,864,
controlled,859,
airway,858,
diseases,858,
sex,854,
status,854,
collected,847,
review,846,
secondary,846,
pediatric,842,
suggest,841,
helicobacter,837,
medications,837,
intestinal,834,
examination,833,
meal,832,
system,828,
times,828,
smoking,826,
addition,823,
qol,823,
satisfaction,823,
gor,822,
major,822,
tests,822,
main,821,
questionnaires,819,
cells,813,
cell,810,
lsg,795,
food,793,
gastrectomy,793,
volume,793,
biopsy,787,
thirty,787,
partial,785,
logistic,784,
measures,784,
metry,784,
hh,779,
model,779,
experience,778,
achalasia,777,
tube,775,
setting,771,
confirmed,768,
gender,768,
acidic,767,
independent,765,
revealed,765,
hrql,762,
mortality,757,
prior,757,
reviewed,757,
eoe,755,
increasing,753,
postoperatively,753,
adverse,752,
asymptomatic,750,
survey,750,
supine,748,
divided,742,
hours,742,
safety,741,
specificity,739,
conditions,736,
degree,734,
lnf,731,
aged,727,
proportion,727,
center,726,
healing,724,
clearance,723,
rfs,723,
impaired,722,
mmhg,722,
ee,720,
sg,717,
classification,716,
postprandial,715,
minutes,713,
result,712,
predictive,710,
nocturnal,708,
therapeutic,708,
ulcer,707,
adults,706,
drug,706,
january,704,
poor,704,
pantoprazole,701,
ranitidine,701,
demeester,700,
information,700,
selected,698,
experienced,696,
rabeprazole,692,
hiatus,690,
safe,690,
los,689,
peristalsis,689,
epithelium,687,
intervention,687,
practice,686,
morbidity,684,
current,682,
sleeve,681,
improve,680,
disorder,679,
report,676,
measurements,673,
gastritis,669,
intraluminal,663,
multiple,663,
pharyngeal,661,
referred,661,
iii,660,
comparison,655,
gastrostomy,653,
ibs,653,
majority,651,
barium,650,
egj,647,
variables,647,
shown,646,
analyses,643,
matched,641,
forty,640,
bolus,639,
calculated,639,
inflammation,639,
screening,639,
cardiac,638,
females,638,
cross,633,
suspected,633,
swallowing,628,
voice,627,
males,626,
costs,625,
introduction,624,
upright,624,
statistical,623,
adult,622,
additional,621,
adjusted,621,
placement,619,
influence,616,
suppression,615,
multivariate,611,
samples,611,
physical,610,
drugs,608,
remains,607,
1,600,
hr,600,
cent,599,
condition,598,
occurrence,598,
eradication,597,
free,591,
apnea,589,
vomiting,587,
egd,586,
sample,585,
onset,582,
bariatric,581,
effectiveness,581,
signs,581,
manometric,580,
osa,580,
sd,579,
abnormalities,578,
clinically,574,
wrap,574,
cardia,572,
validated,572,
myotomy,570,
database,568,
anxiety,567,
comorbidities,567,
inflammatory,567,
features,565,
stay,565,
absence,561,
previously,561,
series,561,
dysfunction,560,
conventional,558,
atypical,556,
classified,556,
ea,553,
documented,551,
liquid,549,
lesions,547,
serum,547,
acute,545,
depression,543,
commonly,538,
receptor,537,
multichannel,536,
swallow,536,
blind,535,
il,535,
intake,535,
salivary,535,
administration,534,
pattern,534,
measurement,533,
taking,531,
hrm,530,
basal,529,
noted,527,
patterns,527,
sectional,527,
administered,520,
failed,520,
successful,520,
limited,518,
pathogenesis,518,
retrospectively,517,
dysplasia,516,
motor,516,
remained,516,
prolonged,515,
recruited,515,
fifty,512,
tract,511,
randomly,509,
cisapride,508,
pathologic,506,
posterior,506,
erosion,505,
maintenance,505,
dental,504,
mechanism,503,
receiving,503,
phase,502,
squamous,502,
injury,501,
relaxation,501,
segment,501,
complication,496,
detection,496,
contrast,495,
recording,495,
toupet,495,
gas,494,
periods,494,
achieved,493,
anterior,491,
aet,490,
device,490,
established,490,
excellent,490,
provide,490,
measure,489,
duodenal,488,
investigation,487,
research,487,
university,487,
obstructive,485,
tissue,484,
copd,483,
histological,482,
hg,481,
0.02,480,
diet,480,
stricture,480,
blood,479,
reduce,477,
delayed,476,
endoscopically,476,
consumption,474,
materials,474,
mechanisms,474,
predictors,474,
comparable,469,
standardized,469,
transient,469,
fd,467,
demographic,466,
half,466,
records,466,
preoperatively,465,
routine,463,
caused,462,
erd,462,
combination,461,
dysmotility,461,
hypothesis,461,
reoperation,460,
sf,460,
weakly,460,
globus,459,
peptic,459,
vocal,459,
success,458,
examine,457,
associations,456,
poem,456,
complaints,455,
secretion,455,
unclear,455,
december,453,
conversion,447,
terms,447,
undergone,447,
intragastric,446,
highly,445,
tertiary,445,
concentration,444,
significance,442,
physicians,441,
underlying,439,
form,438,
size,437,
relative,436,
suggested,436,
recent,434,
excluded,433,
trials,433,
affected,432,
eac,432,
prevalent,432,
requiring,432,
0.5,431,
tool,430,
1.5,429,
modified,428,
clinic,427,
esophagogastric,427,
invasive,427,
lars,426,
material,426,
unknown,426,
minimal,425,
saliva,423,
bypass,422,
4,421,
ten,417,
basis,415,
sixty,415,
alternative,413,
survival,413,
throat,413,
recommended,412,
responders,412,
continuous,411,
intra,411,
affect,410,
techniques,410,
dietary,408,
rygb,408,
fasting,407,
damage,406,
profile,406,
subsequent,406,
progression,405,
bowel,404,
treat,404,
impairment,403,
treatments,403,
increases,401,
0.03,400,
concomitant,400,
pneumonia,399,
alcohol,398,
human,398,
operations,396,
doses,395,
peristaltic,395,
late,394,
psychological,394,
specimens,393,
carried,392,
comparing,392,
protein,392,
lifestyle,391,
mixed,391,
infant,389,
reports,389,
elderly,388,
hp,387,
extent,386,
key,386,
appears,385,
benefit,385,
indications,385,
catheter,384,
iv,383,
subjective,383,
approximately,382,
individual,381,
1.2,379,
epithelial,379,
h2,378,
stage,378,
support,378,
swallows,378,
tlesrs,378,
contents,377,
eosinophilic,377,
reliability,377,
develop,376,
resulted,376,
scintigraphy,376,
accuracy,375,
en,374,
fundoplications,374,
undergo,374,
amplitude,372,
water,372,
capsule,371,
agreement,369,
angeles,369,
gerdq,367,
protocol,367,
redo,367,
repeated,367,
fold,366,
iem,366,
suggests,366,
episode,365,
line,364,
2.5,363,
tolerated,363,
acidity,362,
applied,362,
columnar,362,
guidelines,361,
infusion,360,
relation,360,
simultaneous,360,
intraoperative,359,
proven,359,
prescribed,358,
anastomosis,357,
msa,355,
night,355,
rapid,355,
refluxes,355,
degrees,354,
diagnoses,354,
difficult,354,
involved,354,
manifestations,354,
suggesting,354,
sap,353,
roux,352,
stress,352,
remaining,351,
tested,351,
formula,348,
burden,347,
concentrations,347,
0.04,345,
transit,344,
validity,344,
characterized,343,
diabetes,343,
dilation,343,
provided,343,
esophagogastroduodenoscopy,342,
intervals,340,
models,340,
national,339,
consisted,338,
fssg,337,
assigned,336,
curve,336,
designed,336,
probability,336,
estimated,335,
hernias,335,
histologic,335,
5,334,
0.002,332,
2,332,
direct,332,
sensitive,331,
ssc,331,
1,330,
literature,330,
nonacid,330,
fh,329,
operated,329,
2000,328,
nasal,328,
nonerosive,327,
receive,327,
include,326,
means,326,
neurologically,326,
types,326,
dilatation,325,
occur,325,
perfusion,325,
surgeons,325,
active,324,
shorter,324,
event,323,
milk,323,
fibrosis,322,
iqr,322,
referral,322,
laryngitis,321,
150,320,
independently,320,
lprd,320,
si,320,
grades,319,
multicenter,319,
elevated,318,
ues,317,
1.1,316,
community,316,
lead,316,
conclude,315,
western,315,
0.8,314,
2010,314,
final,314,
preterm,314,
2015,313,
ars,313,
detect,313,
predict,313,
0.005,312,
1.6,312,
de,312,
prevent,312,
antacid,311,
epigastric,311,
obstruction,311,
contraction,310,
nausea,310,
nf,310,
subgroup,310,
1.4,309,
transplant,309,
intensity,308,
pathology,308,
ratios,307,
choice,306,
la,306,
physician,306,
pressures,306,
0.1,305,
alginate,305,
authors,305,
hrqol,305,
interventions,305,
outpatient,305,
threshold,305,
contribute,304,
describe,304,
mesh,304,
peg,304,
plasma,304,
recently,304,
responses,304,
hoarseness,303,
imaging,303,
muscle,303,
simple,303,
strong,303,
june,302,
reducing,301,
seventy,301,
atresia,300,
barrier,300,
contractions,300,
correlate,300,
fat,300,
larger,300,
require,300,
demand,299,
superior,299,
predicted,297,
questions,297,
presentation,296,
strategies,296,
carcinoma,295,
eighty,295,
relevant,295,
stenosis,295,
heart,294,
inclusion,294,
option,294,
relapse,294,
countries,293,
developing,293,
lack,293,
extraesophageal,292,
resting,292,
revision,292,
bloating,290,
centers,290,
pg,290,
proposed,290,
flow,289,
2012,288,
improves,288,
optimal,288,
perioperative,288,
stimulation,288,
suggestive,288,
wk,288,
chinese,287,
confirm,287,
department,287,
digestive,287,
trend,287,
air,286,
0.2,285,
1.3,285,
2009,285,
yr,285,
operating,284,
people,284,
ranged,284,
sensation,284,
stretta,284,
visits,284,
intraesophageal,283,
wireless,283,
demographics,282,
satisfied,282,
continued,281,
eating,281,
1.8,280,
3.5,280,
antagonists,280,
future,280,
hypertension,280,
importance,280,
ng,280,
reconstruction,280,
users,280,
2005,279,
ability,279,
complicated,279,
ipf,279,
play,278,
indication,277,
japanese,277,
correlations,276,
left,276,
strategy,276,
2013,275,
1,274,
1.7,273,
controversial,273,
demonstrate,273,
institution,273,
2.2,271,
lf,271,
occurs,271,
2017,270,
predominant,270,
relaxations,270,
analysed,269,
dual,269,
resection,269,
barrett,268,
belching,268,
bleeding,268,
gastroenterology,268,
capacity,267,
fewer,267,
scored,267,
adequate,266,
2014,265,
family,265,
rating,265,
reliable,265,
4.5,264,
channel,264,
metabolic,264,
0.003,263,
2016,263,
daytime,263,
etiology,263,
nccp,263,
perception,263,
randomised,263,
worse,263,
ineffective,261,
parents,261,
surveillance,261,
0.3,260,
0.9,260,
acids,260,
excess,260,
distribution,259,
establish,259,
gastrin,259,
content,258,
middle,258,
process,258,
remission,258,
tif,258,
esophagectomy,257,
exercise,257,
gene,257,
march,257,
0.7,256,
histology,256,
meals,256,
weekly,256,
observational,255,
prescription,255,
analyze,254,
gold,254,
gsrs,254,
ninety,254,
0.4,253,
multivariable,253,
resolved,253,
tooth,253,
1.9,252,
2006,252,
neonates,252,
overweight,252,
physiological,252,
subject,252,
fluid,251,
2.3,250,
2.6,250,
birth,250,
cox,250,
discomfort,250,
ge,250,
solid,250,
child,249,
crural,249,
items,249,
marker,249,
met,249,
visit,249,
blinded,248,
consistent,248,
explore,248,
expressed,248,
amount,247,
eligible,247,
estimate,247,
growth,247,
published,247,
successfully,247,
diagnosing,246,
improvements,246,
suppressive,246,
treating,246,
overlap,245,
respondents,245,
unit,245,
auc,244,
item,244,
mnbi,244,
remain,244,
september,244,
complex,243,
patient's,243,
performance,243,
global,242,
height,242,
reporting,242,
scoring,242,
traditional,242,
recordings,241,
valve,241,
evaluating,240,
paraesophageal,240,
constipation,239,
i.e,239,
residual,239,
version,239,
dependent,238,
dyspeptic,238,
hospitals,238,
past,238,
completely,237,
erosions,237,
ns,237,
subgroups,237,
lesp,236,
maximum,236,
0.6,235,
2018,235,
antral,235,
assessing,235,
extra,235,
linear,235,
minor,235,
vonoprazan,235,
feasible,234,
laboratory,234,
responded,234,
resulting,234,
bravo,233,
october,233,
persons,233,
refluxate,233,
white,233,
application,232,
transplantation,232,
variable,232,
protective,231,
responsive,231,
2.1,230,
asthmatic,230,
gej,230,
investigations,230,
potentially,230,
repeat,230,
hospitalization,229,
reflex,229,
adolescents,228,
compliance,228,
death,228,
region,228,
comorbidity,227,
concurrent,227,
irritable,227,
mechanical,227,
strongly,227,
univariate,227,
2.7,226,
2007,226,
2011,226,
alkaline,226,
balloon,226,
linked,226,
ulcers,226,
2.8,225,
poorly,225,
random,225,
rare,225,
2019,224,
baclofen,224,
distress,224,
fed,224,
laparoscopy,224,
neurological,224,
consensus,223,
eosinophils,223,
indicating,223,
saline,223,
2003,222,
examinations,222,
images,222,
label,222,
peak,222,
predicting,222,
qolrad,222,
systemic,222,
collis,221,
knowledge,221,
laryngoscopy,221,
suffering,221,
technical,221,
3.1,220,
instrument,220,
managed,220,
reasons,220,
reference,220,
sputum,220,
step,220,
surgeon,220,
widely,220,
2008,219,
dosing,219,
expected,219,
isolated,219,
positively,219,
regard,219,
set,219,
2.4,218,
3,218,
accurate,218,
july,218,
selection,218,
site,218,
wall,218,
allergy,217,
cf,217,
distension,217,
habits,217,
nighttime,217,
5.5,216,
maintained,216,
predictor,216,
recumbent,216,
tracheal,216,
cyp2c19,215,
antrum,214,
characteristic,214,
date,214,
heller,214,
laparoscopically,214,
larynx,214,
substantial,214,
visual,214,
3.3,213,
ear,213,
respect,213,
twelve,213,
5,212,
cut,212,
im,212,
leading,212,
medicine,212,
reduces,212,
stable,212,
utility,212,
cc,211,
closure,211,
diaphragmatic,211,
resistance,211,
scales,211,
yield,211,
antisecretory,210,
consistency,210,
minimally,210,
pregnancy,210,
real,210,
risks,210,
occurring,209,
ome,209,
staining,209,
united,209,
wear,209,
agents,208,
breath,208,
component,208,
controlling,208,
hcl,208,
hypersensitivity,208,
identifying,208,
respond,208,
strictures,208,
thickness,208,
chart,207,
crs,207,
excessive,207,
pathophysiology,207,
satisfactory,207,
cricoid,206,
decision,206,
inhibition,206,
stratified,206,
2004,205,
bilirubin,205,
cd,205,
famotidine,205,
histamine,205,
migration,205,
nutritional,205,
resistant,205,
similarly,205,
gain,204,
gastroscopy,204,
gefv,204,
juice,204,
observation,204,
rome,204,
1997,203,
asthmatics,203,
bronchial,203,
mental,203,
newly,203,
sought,203,
absent,202,
central,202,
challenge,202,
ages,201,
disturbances,201,
variability,201,
activities,200,
diagnose,200,
healthcare,200,
markers,200,
quantitative,200,
undertaken,200,
180,199,
gers,199,
intercellular,199,
internal,199,
mediated,199,
2.9,198,
interquartile,198,
2002,197,
7.5,197,
deaths,197,
define,197,
effectively,197,
oropharyngeal,196,
participated,196,
therapies,196,
allergic,195,
expiratory,195,
social,195,
3.2,194,
4.2,194,
crossover,194,
genes,194,
head,194,
perforation,194,
perform,194,
american,193,
antacids,193,
comprised,193,
congenital,193,
lasting,193,
marked,193,
troublesome,193,
variation,193,
300,192,
april,192,
healed,192,
ingestion,192,
interview,192,
ventilation,192,
ω,192,
edema,191,
extended,191,
hypothesized,191,
production,191,
reached,191,
2001,190,
3.4,190,
corpus,189,
foods,189,
novo,189,
subsequently,189,
band,188,
contact,188,
exhibited,188,
improving,188,
lowest,188,
monitored,188,
profiles,188,
registration,188,
submitted,188,
discharge,187,
extensive,187,
gastroplasty,187,
grading,187,
idiopathic,187,
integrity,187,
liver,187,
recovery,187,
understood,187,
1998,186,
feasibility,186,
morbidly,186,
release,186,
responsiveness,186,
revisional,186,
valid,186,
decreases,185,
diameter,185,
gastroenterologists,185,
led,185,
lrygb,185,
measuring,185,
surface,185,
4.6,184,
additionally,184,
atrophy,184,
smokers,184,
TRUE,184,
anastomotic,183,
components,183,
physiologic,183,
recommendations,183,
regular,183,
0.004,182,
