Report Year,Agency Name,Data Set Title,Data Set Description,Update Frequency,Planned Release Date,Date Status,Agency Comment
2013,Administration for Children's Services (ACS),Monthly Flash Report indicators,"Monthly trends in select child welfare, child care and youth justice statistics",Monthly,10/29/2018,,
2013,Administration for Children's Services (ACS),Placements by Community District (CD),Number of children placed in foster care by their CD of origin,Annually,03/31/2014,,
2013,Administration for Children's Services (ACS),Abuse/Neglect by CD,Abuse/neglect investigations by CD of family,Annually,03/31/2014,,
2013,Administration for Children's Services (ACS),Community Snapshots,"Select child welfare, child care and youth justice statistics for each CD",Annually,10/29/2018,,
2013,Department of Finance (DOF),Scofftow,"Information on vehicles towed or booted, and potentially auctioned as a result of parking ticket non-payment enforcement",TBD,12/31/2018,,
2013,Department of Health and Mental Hygiene (DOHMH),Mobile Vending Permitting,Dataset contains information on mobile food vending permits and inspections,Annually,12/31/2018,,
2013,Administration for Children's Services (ACS),Child Welfare Indicators -Annual and quarterly report indicators,Select Child Welfare indicators reported in compliance with Introduction 15 passed by the New York City Council in 2006,Quarterly,06/30/2014,,
2013,Department of Health and Mental Hygiene (DOHMH),Radiation Producing Equipment,Dataset contains information on Department inspections of radiation-producing equipment,Annually,12/31/2018,,
2013,Administration for Children's Services (ACS),Detention and Placement Incident reports,Detention and Placement incident statistics reported in compliance with Introduction 153-A and 37-A passed by the New York City Council,Quarterly,10/30/2017,,
2013,Department of Health and Mental Hygiene (DOHMH),Child Care Inspections,Dataset contains information on center-based child care and summer camp sites and inspections related to the sites,Annually,06/01/2016,,
2013,Administration for Children's Services (ACS),Detention and Placement  Demographic reports,Detention demographic statistics reported in compliance with Introduction 153-A and 37-A passed by the New York City Council,Annually,10/30/2017,,
2013,Department of Health and Mental Hygiene (DOHMH),Beach Water Quality,Dataset contains information on beach water quality,Annually,06/01/2018,,
2013,Administration for Children's Services (ACS),Detention and Placement Abuse/neglect reports,Detention abuse/neglect statistics reported in compliance with Introduction 153-A and 37-A passed by the New York City Council,Annually,10/30/2017,,
2013,Brooklyn Borough President (BPBK),Constituent Requests,The number of constituent requests for assistance separated by issues/sub-issues,Monthly,12/31/2018,,
2013,Business Integrity Commission (BIC),Approved Operating Companies,This list contains a list of all approved and operating companies within BIC's regulated industries,Monthly,12/31/2018,,
2013,Business Integrity Commission (BIC),Violation Issuance,"Information on violations issued by BIC including Rule/Regulation, Respondent, Location, and Fine",Daily,12/31/2018,,
2013,Department of Health and Mental Hygiene (DOHMH),Pool Inspections,Dataset contains information on inspections of pools,Annually,06/01/2017,,
2013,Business Integrity Commission (BIC),Complaints,"Information on complaints submitted to BIC for investigation.  Includes nature of complaint, complaint location, complainant details, agency response data and resolution",Daily,12/31/2018,,
2013,Business Integrity Commission (BIC),Certificates of Inspection,"Information on inspections of regulated companies vehicles/establishments performed by BIC enforcement staff.  Includes inspection location, company, vehicle and driver  information, as well as specifics of inspection and any resulting violations",Weekly,12/31/2018,,
2013,Business Integrity Commission (BIC),Vehicles,"Information on all vehicles used by a trade waste licensee/registrant for the removal of trade waste.  Includes vehicle make, model, year, VIN # and DMV plate information",Monthly,12/31/2018,,
2013,Business Integrity Commission (BIC),Principals,"Information on all principals and key employees of a trade waste licensee/registrant applicant.  Includes employment history, work/home address and contact information",Monthly,12/31/2018,,
2013,Civil Service Commission (CSC),Appeals filed with the Civil Service Commission,Number of appeals filed within a pre-determined time (Monthly or quarterly),Monthly,01/02/2014,,
2013,Conflicts of Interest Board (COIB),Enforcement Fines,This list contains information on the fines collected by the Enforcement Unit.,Monthly,03/01/2015,,
2013,Conflicts of Interest Board (COIB),List of policy makers,This list contains information of those designated as policy makers at their respective agencies.,Annually,03/01/2015,,
2013,Conflicts of Interest Board (COIB),Annual Report Statistics,This list contains the year-end summaries of activities of all COIB units.,Annually,03/01/2015,,
2013,Department for the Aging (NYC Aging),Aging Services,Provides a listing of DFTA's core services by provider type,Daily,09/01/2014,,
2013,Department for the Aging (NYC Aging),Contract Expenditures,Tracks contractors expenditures by funding source to claim to oversight for claiming,Monthly,09/01/2014,,
2013,Department of Buildings (DOB),Development Report,"Will contain development data such as job filings, development inspection results, etc.",Monthly,12/01/2014,,
2013,Department of Buildings (DOB),Enforcement Report,"Will contain safety and enforcement data such as enforcement inspection results (e.g. violations), disciplinary actions, citywide devices, etc.",Monthly,12/01/2015,,
2013,Department of Buildings (DOB),Licensing Report,"Will contain licensing data such as licensee name, license type, etc.",Monthly,12/01/2016,,
2013,Department of City Planning (DCP),Significant Maritime and Industrial Areas (SMIA) boundaries,Shape file of SMIA boundaries that define the geographic scope of New York City's Waterfront Revitalization Program (WRP),TBD,12/31/2014,,
2013,Department of City Planning (DCP),Special Natural Waterfront Areas (SNWA) boundaries,Shape file of SNWA boundaries that define the geographic scope of New York City's Waterfront Revitalization Program (WRP),TBD,12/31/2014,,
2013,Department of City Planning (DCP),Census Demographics at the Neighborhood Tabulation Area (NTA) level,Table of Census Demographics represented at the NTA level. NTAs are aggregations of census tracts that are subsets of New York City's 55 Public Use Micro data Areas (PUMAs),TBD,12/31/2014,,
2013,Department of City Planning (DCP),Census Demographics at the NYC City Council district (CNCLD) level,Table of Census Demographics represented at the NYC City Council district level,TBD,12/31/2014,,
2013,Department of City Planning (DCP),Census Demographics at the NYC Community District (CD) level,Table of Census Demographics represented at the NYC Community District level,TBD,12/31/2014,,
2017,Department of Parks and Recreation (DPR),Walk to a Park,Geospatial dataset of areas served by the Walk to a Park initiative (https://www.nycgovparks.org/planning-and-building/planning/walk-to-a-park),Annually,09/01/2017,New,
2013,Department of City Planning (DCP),Demographics and profiles at the Neighborhood Tabulation Area (NTA) level,Table of ACS Demographics and profile represented at the NTA level. NTAs are aggregations of census tracts that are subsets of New York City's 55 Public Use Microdata Areas (PUMAs),TBD,12/31/2014,,
2013,Department of City Planning (DCP),Demographics and profiles at the Public Use Microdata Area (PUMA ) subarea level,Tables of ACS Demographics and profiles represented at the PUMA sub area level. (PUMA sub areas are similar to NYC Community Districts but not coterminous),TBD,12/31/2014,,
2013,Department of City Planning (DCP),2010 Census Tract to Neighborhood Tabulation Area Equivalency table,"Excel table of census data created to project populations at the Neighborhood Tabulation Area, a small area level, from 2000 to 2030 for PlaNYC, the long-term sustainability plan for New York City",TBD,12/31/2014,,
2013,Department of City Planning (DCP),Gazetteer of City Owned Property,List of city-owned properties and uses,Annually,12/31/2014,,
2013,Department of City Planning (DCP),Bike Counts,"Bicycle traffic counts collected at 16 locations (11 on-street, 5 greenway).",Annually,12/31/2014,,
2013,Department of Citywide Administrative Services (DCAS),City Record Online,The City Record Online (CROL) is a fully searchable database of procurement notices - bid solicitations and awards - from New York City agencies.,Daily,12/31/2014,,
2013,Department of Citywide Administrative Services (DCAS),City Store - The Official Store of the City of New York,Information on City Store – the Official Story of the City of New York,Weekly,06/30/2014,,
2013,Department of Citywide Administrative Services (DCAS),Green Book Online,"The Green Book Online is a fully searchable database. It currently includes 3 sections from the print directory - listings for New York City, County and New York State government organizations",Weekly,06/30/2014,,
2013,Department of Health and Mental Hygiene (DOHMH),Rodent Inspection,Dataset contains information on rat inspections,Annually,12/31/2018,,
2013,Department of Citywide Administrative Services (DCAS),100 Year Association - College Scholar Award,The Hundred Year Association of New York honors outstanding civil servants and provides college scholarships for the children of City employees,Annually,12/31/2014,,
2013,Department of Citywide Administrative Services (DCAS),OASys: NYC Online Application System,Civil Service Exam Information,Monthly,12/31/2017,,
2013,Department of Citywide Administrative Services (DCAS),Current Solicitations,The Office of Citywide Purchasing (OCP) solicits and awards contracts for a wide variety of goods and services on behalf of all City agencies,Weekly,12/31/2015,,
2013,Department of Citywide Administrative Services (DCAS),Recent Bid Tabulations,The Office of Citywide Purchasing (OCP) solicits and awards contracts for a wide variety of goods and services on behalf of all City agencies,Weekly,06/30/2016,,
2013,Department of Citywide Administrative Services (DCAS),Recent Contract Awards,The Office of Citywide Purchasing (OCP) solicits and awards contracts for a wide variety of goods and services on behalf of all City agencies,Weekly,06/30/2016,,
2013,Department of Citywide Administrative Services (DCAS),Building Energy Usage Data,City Building Energy Usage Data,Annually,12/31/2015,,
2013,Department of Citywide Administrative Services (DCAS),Building Fuel Usage Data,City Building Fuel Usage Data,Annually,12/31/2015,,
2013,Department of Citywide Administrative Services (DCAS),Urban Agriculture dataset,City Property Data,Annually,12/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Licensing Fees Rate Table,Fee table for DCA license applications,Monthly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),License Applications,License applications submitted to DCA.,Monthly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Waiting List for General Vendor Licenses,Applicants placed on waiting list for General Vendor licenses after annual lottery. (Lottery not always held each year.),Annually,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Inspections,"DCA inspections of over 80 business categories to ensure compliance with license regulations, weights and measures regulations, and provisions of the New York City Consumer Protection Law",Weekly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Charges,"Charges issued as a result of DCA enforcement efforts to ensure compliance with license regulations, weights and measures regulations, and provisions of the New York City Consumer Protection Law",Weekly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Case Workflow,Status of cases in DCA's Administrative Tribunal,Weekly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Consumer Restitution Awarded through DCA Tribunal,Restitution awarded to consumers through DCA's Administrative Tribunal,Weekly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Trust Fund Invasions and  Repayments,Consumer restitution and DCA fines paid out of DCA-administered Home Improvement Contractor and Tow Truck Trust funds for trust fund participants that are delinquent on their debts,Weekly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Revocations and Suspensions,All revocations and suspensions ordered by DCA tribunal,Weekly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Consumer Services Complaint Mediation,Complaints docketed by DCA and mediation outcomes,Weekly,01/31/2015,,
2013,Department of Consumer and Worker Protection (DCWP),Receivables and Receipts,Fees and fines owed to DCA and payments thereon,Weekly,01/31/2015,,
2013,Department of Transportation (DOT),Weekly Resurfacing Schedule (Bronx milling and paving),Bronx Milling and Paving Schedule,Weekly,08/01/2014,,
2013,Department of Consumer and Worker Protection (DCWP),Licensing Center Customer Information,Licensing center customer volume and customer experience information,Monthly,12/31/2018,,
2013,Department of Consumer and Worker Protection (DCWP),Financial Empowerment Center Client Outcomes,Aggregate data on outcomes achieved by clients using DCA's financial counseling services,Monthly,12/31/2018,,
2013,Department of Correction (DOC),Inmates in Custody,"List of inmates in custody with demographics, charge data, and status",Daily,06/30/2015,,
2013,Department of Correction (DOC),Inmate Admissions,List of monthly inmate admissions with demographics and charge at admissions data,Monthly,06/30/2015,,
2013,Department of Correction (DOC),Inmate Discharges,List of monthly inmate discharges with demographics and charge at admissions data,Monthly,06/30/2015,,
2013,Department of Correction (DOC),Jail Population Profiles,"Average inmate population, inmate profiles, staff profiles, incidents by facility",Monthly,06/30/2015,,
2013,Department of Correction (DOC),Aggregate Population Statistics,"Quarterly sums of inmate attributes (custody level, gang membership, institutional conduct, mental health diagnosis)",Quarterly,06/30/2015,,
2013,Department of Correction (DOC),Aggregate Employee Statistics,"Quarterly sums of staff attributes (status, rank, title, average salary, gender)",Quarterly,12/31/2014,,
2013,Department of Correction (DOC),Aggregate Visits/Visitors,"Numbers of visitors by day, visits with children",Quarterly,06/30/2014,,
2013,Department of Correction (DOC),Hart Island Burial Records,Individuals buried on Hart Island with date and place of death when available,Quarterly,06/30/2014,,
2013,Department of Cultural Affairs (DCLA),Capital Projects,Organizations awarded Capital Projects funding,Annually,09/08/2014,,
2013,Department of Cultural Affairs (DCLA),Materials for the Arts,Data regarding donations processed through MFTA,Annually,09/08/2014,,
2013,Department of Cultural Affairs (DCLA),Cultural Institutions,Data regarding the 33 organizations that comprise the Cultural Institutions Group,Annually,09/08/2014,,
2013,Department of Design and Construction (DDC),Project Information,Consolidated information on project status,Quarterly,09/30/2017,,
2013,Department of Education (DOE),School Allocation Memorandums (SAM),"School Allocation Memorandums (SAM) by category. Categories: Fair Student Funding, Children First Network Support, Externally Restricted Funds, Internally Restricted Funds, Other Special Education Funds, Budget and Technical Adjustments",Annually,12/31/2018,,
2013,Department of Education (DOE),School Budget Overviews,Report that shows individual school budget allocation by year. Fair Student Funding Details feature also available,Annually,12/31/2018,,
