Date,What data are you requesting?,Which state agency maintains this data?,Other - Which state agency maintains this data?,How would you categorize this data?,Other - How would you categorize this data?,How do you plan on using this data?,Other - How do you plan on using this data?,Provide any additional information about how you plan to use the data that may help us respond to your request.,Is this data spatial (e.g. maps) or tabular (e.g. tables or spreadsheets)?,What type of spatial data are you looking for?,Other - What type of spatial data are you looking for?,Response (if available)
05/22/2024,LOOKING FOR ALL REGISTERED TRADES BUSINESSES,I don't know.,,Other,licensed trades in CT,For work (e.g. using data on the Portal as part of my professional work),,DOING A PROJECT COMPARING VARIOUS TRADES BUSINESSES ACROSS STATES,Tabular (e.g. tables or spreadsheets),,,"The dataset State Licenses and Credentials (https://data.ct.gov/Business/State-Licenses-and-Credentials/ngch-56tr/about_data) lists all licenses and credentials in the state's eLicense system, which includes over 800 credential types issued and regulated by the state. Credential types include licenses, registrations, permits, and certifications for individuals organizations, and facilities."
05/28/2024,"Stamford, Connecticut, Stamford High School 1997 Faculty directory",State Department of Education,,Demographics,,For personal use (e.g. to find data about my community or other topics of personal interest),,"I taught at Stamford High School full time from [redacted] (confirmed by the former principal), but the HR department has NO record of my existence",Not sure,,,"The State Department of Education does not have any data from the timeframe requested. They suggested that you reach out to the school district. 

This page on the Stamford Public Schools website has information for former faculty that might be helpful: https://www.stamfordpublicschools.org/departments/human-resources/former-employees"
05/29/2024,"One Excel file with all the cities in Fairfield County, or an Excel file for each.",I don't know.,,Other,,For work (e.g. using data on the Portal as part of my professional work),,I offer creative services in Fairfield County.,Tabular (e.g. tables or spreadsheets),,,All municipalities in Connecticut are listed in the dataset on the Portal available here: https://data.ct.gov/Government/CT-Municipalities/5c5g-mddb/about_data.
06/07/2024,Crime data by town and year from 2000 to present,Department of Emergency Services and Public Protection,,Public safety,,For research (e.g. to find data for academic or public policy research),,"I am planning to use this data to predict the real estates prices depending upon the factors such as crime, schools, hospitals etc.",Tabular (e.g. tables or spreadsheets),,,"The CT Department of Emergency Services and Public Protection makes data on crime in Connecticut available at https://ct.beyond2020.com/. Crime data is continuously collected from all law enforcement agencies in the state, validated and made available for reporting. Reports on this site are updated nightly.

Additional data from DESPP is available here: https://portal.ct.gov/DESPP/Division-of-State-Police/Crimes-Analysis-Unit/Crimes-Analysis-Unit"
06/11/2024,"Will you be released an updated COVID-19 Vaccination by Town and Race/Ethnicity for this 2023-2024 respiratory season that just ended?  And/or by Census Tract?  These two reports used to be issued weekly and were *extremely* helpful to evaluate and adjust  our public health community outreach efforts, and plan for the upcoming season.",Department of Public Health,,Health and human services,,For work (e.g. using data on the Portal as part of my professional work),,To be used by the City of Stamford Dept. of Health & Human Services for our COVID-19 evaluation and planning for 2024-2025 season.,Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
06/12/2024,"Since Connecticut has stopped publishing the Weekly Viral Respiratory Disease Case Summary, I am looking for information on the spread of Covid 19. In particular, I am interested in hospital inpatients testing positive for Covid. I am also interested in the number of individuals testing positive for Covid, as well as Covid deaths. I would like access to this information on a weekly basis.",Department of Public Health,,Demographics,,For personal use (e.g. to find data about my community or other topics of personal interest),,"I have been tracking this data since the spring of 2020 and am very disappointed that it does not seem to be readily available after May 30, 2024. Thank you for any help you can provide.",Tabular (e.g. tables or spreadsheets),,,Request forwarded to agency
06/20/2024,List of geothermal installation jobs in Fairfield county,I don't know.,,Other,,For work (e.g. using data on the Portal as part of my professional work),,,Tabular (e.g. tables or spreadsheets),,,Follow up sent to request more information.
06/21/2024,UST removal,Department of Energy and Environmental Protection,,Other,UST removal 1980-2006,Other,Researching to determine if there is a record of UST removal or spill remediation,For a real estate transaction,Not sure,,,"There are several datasets about UST on the Portal:
Regarding Tank Removal information, this data sets includes tank removal information in the column called Closure Type:
Underground Storage Tanks (USTs) - Facility and Tank Details (https://data.ct.gov/Environment-and-Natural-Resources/Underground-Storage-Tanks-USTs-Facility-and-Tank-D/utni-rddb); 
These 3 data sets may be of interest regarding Remediation:
Releases from Federally Regulated Underground Storage Tank Systems (https://data.ct.gov/Environment-and-Natural-Resources/Releases-from-Federally-Regulated-Underground-Stor/yc6z-jrb5);
List of Contaminated or Potentially Contaminated Sites - SASU Case Management System (https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/77ya-7twa);
List of Contaminated or Potentially Contaminated Sites - Remediation Division (https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/u76p-weqj).
If you have more questions about USTs, you can get in touch with the Site Assessment and Support Unit (SASU) at DEEP at this email: DEEP.Leakingust@ct.gov"
06/23/2024,"Economic Data:

Property values
Local business presence
Tax rates
 for the following Connecticut zip codes 06830, 06824, 06877, 06840, 06880, and 06820",I don't know.,,Business,,For school (e.g. for school projects),,,Tabular (e.g. tables or spreadsheets),,,"I'm writing in response to your request for data on the CT Open Data Portal for data on property values, local businesses, and tax rates. I'll include links to a few datasets that I hope will help address your request below:

Real Estate Sales 2001-2021 GL - This dataset includes all real estate sales with a sales price of $2,000 or greater. It also includes the assessed value and sales amount for each property. It includes a street address and town for each property. (https://data.ct.gov/Housing-and-Development/Real-Estate-Sales-2001-2021-GL/5mzw-sjtu/about_data);
Tax Levy by Town, FY2019-2025 - This dataset includes the tax levy by town including the net levy for real property, personal property, motor vehicles, and supplemental motor vehicles. This data is reported at the town level. (https://data.ct.gov/Government/Tax-Levy-by-Town-FY-2019-2025/he33-brru/about_data);
Connecticut Business Registry - Business Master - This dataset includes all businesses registered with the Secretary of the State. It includes the street address, city, and zip for each business. (https://data.ct.gov/Business/Connecticut-Business-Registry-Business-Master/n7gp-d28j/about_data)"
06/27/2024,"Health care data including health conditions, treatment, medical visits, available medical services, health disparities, chronic conditions, and health outcomes of Connecticut prison inmates by facility.",I don't know.,,Health and human services,,For work (e.g. using data on the Portal as part of my professional work),,Federal grant applications.,Tabular (e.g. tables or spreadsheets),,,The Department of Correction advised that this request should be made through the DOC FOI portal here: https://docct.govqa.us/WEBAPP/_rs/(S(qtbqrikwer33zmnk2batzhug))/supporthome.aspx
