name,datatype,defaulttask,attributetype,n,dimension,year,year2,url,url-wiki,url-extra,src,description,featured,category
"3D Road Network (North Jutland, Denmark)","Sequential, Text","Regression, Clustering",Real,434874,4,2013,,http://archive.ics.uci.edu/ml/datasets/3D+Road+Network+%28North+Jutland%2C+Denmark%29,,,UCI Machine Learning Repository,,0,other
Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8,1995,,http://archive.ics.uci.edu/ml/datasets/Abalone,,,UCI Machine Learning Repository,,0,other
Abscisic Acid Signaling Network,Multivariate,Causal-Discovery,Integer,300,43,2008,,http://archive.ics.uci.edu/ml/datasets/Abscisic+Acid+Signaling+Network,,,UCI Machine Learning Repository,,0,other
Acute Inflammations,Multivariate,Classification,"Categorical, Integer",120,6,2009,,http://archive.ics.uci.edu/ml/datasets/Acute+Inflammations,,,UCI Machine Learning Repository,,0,other
Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996,,http://archive.ics.uci.edu/ml/datasets/Adult,,,UCI Machine Learning Repository,,0,other
Amazon Access Samples,"Time-Series, Domain-Theory","Regression, Clustering, Causal-Discovery",,30000,20000,2011,,http://archive.ics.uci.edu/ml/datasets/Amazon+Access+Samples,,,UCI Machine Learning Repository,,0,other
Amazon Commerce reviews set,"Multivariate, Text, Domain-Theory",Classification,Real,1500,10000,2011,,http://archive.ics.uci.edu/ml/datasets/Amazon+Commerce+reviews+set,,,UCI Machine Learning Repository,,0,other
Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,,,http://archive.ics.uci.edu/ml/datasets/Annealing,,,UCI Machine Learning Repository,,0,other
Anonymous Microsoft Web Data,,Recommender-Systems,Categorical,37711,294,1998,,http://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data,,,UCI Machine Learning Repository,,0,other
Arcene,Multivariate,Classification,Real,900,10000,2008,,http://archive.ics.uci.edu/ml/datasets/Arcene,,,UCI Machine Learning Repository,,0,other
Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998,,http://archive.ics.uci.edu/ml/datasets/Arrhythmia,,,UCI Machine Learning Repository,,0,other
Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992,,http://archive.ics.uci.edu/ml/datasets/Artificial+Characters,,,UCI Machine Learning Repository,,0,other
Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992,,http://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29,,,UCI Machine Learning Repository,,0,other
Australian Sign Language signs,"Multivariate, Time-Series",Classification,"Categorical, Real",6650,15,1999,,http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs,,,UCI Machine Learning Repository,,0,other
Australian Sign Language signs (High Quality),"Multivariate, Time-Series",Classification,Real,2565,22,2002,,http://archive.ics.uci.edu/ml/datasets/Australian+Sign+Language+signs+%28High+Quality%29,,,UCI Machine Learning Repository,,0,other
Auto MPG,Multivariate,Regression,"Categorical, Real",398,8,1993,,http://archive.ics.uci.edu/ml/datasets/Auto+MPG,,,UCI Machine Learning Repository,,0,other
Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26,1987,,http://archive.ics.uci.edu/ml/datasets/Automobile,,,UCI Machine Learning Repository,,0,other
Bach Chorales,"Univariate, Time-Series",,"Categorical, Integer",100,6,,,http://archive.ics.uci.edu/ml/datasets/Bach+Chorales,,,UCI Machine Learning Repository,,0,other
Badges,"Univariate, Text",Classification,,294,1,1994,,http://archive.ics.uci.edu/ml/datasets/Badges,,,UCI Machine Learning Repository,,0,other
Bag of Words,Text,Clustering,Integer,8000000,100000,2008,,http://archive.ics.uci.edu/ml/datasets/Bag+of+Words,,,UCI Machine Learning Repository,,0,other
Balance Scale,Multivariate,Classification,Categorical,625,4,1994,,http://archive.ics.uci.edu/ml/datasets/Balance+Scale,,,UCI Machine Learning Repository,,0,other
Balloons,Multivariate,Classification,Categorical,16,4,,,http://archive.ics.uci.edu/ml/datasets/Balloons,,,UCI Machine Learning Repository,,0,other
Bank Marketing,Multivariate,Classification,Real,45211,17,2012,,http://archive.ics.uci.edu/ml/datasets/Bank+Marketing,,,UCI Machine Learning Repository,,0,other
banknote authentication,Multivariate,Classification,Real,1372,5,2013,,http://archive.ics.uci.edu/ml/datasets/banknote+authentication,,,UCI Machine Learning Repository,,0,other
Bike Sharing Dataset,Univariate,Regression,"Integer, Real",17389,16,2013,,http://archive.ics.uci.edu/ml/datasets/Bike+Sharing+Dataset,,,UCI Machine Learning Repository,,0,other
BLOGGER,Multivariate,Classification,,100,6,2013,,http://archive.ics.uci.edu/ml/datasets/BLOGGER,,,UCI Machine Learning Repository,,0,other
Blood Transfusion Service Center,Multivariate,Classification,Real,748,5,2008,,http://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center,,,UCI Machine Learning Repository,,0,other
Breast Cancer,Multivariate,Classification,Categorical,286,9,1988,,http://archive.ics.uci.edu/ml/datasets/Breast+Cancer,,,UCI Machine Learning Repository,,0,other
Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32,1995,,http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29,,,UCI Machine Learning Repository,,0,other
Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10,1992,,http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29,,,UCI Machine Learning Repository,,0,other
Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198,34,1995,,http://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29,,,UCI Machine Learning Repository,,0,other
Breast Tissue,Multivariate,Classification,Real,106,10,2010,,http://archive.ics.uci.edu/ml/datasets/Breast+Tissue,,,UCI Machine Learning Repository,,0,other
Buzz in social media,"Time-Series, Multivariate","Regression, Classification","Integer, Real",140000,77,2013,,http://archive.ics.uci.edu/ml/datasets/Buzz+in+social+media+,,,UCI Machine Learning Repository,,0,other
CalIt2 Building People Counts,"Multivariate, Time-Series",,"Categorical, Integer",10080,4,2006,,http://archive.ics.uci.edu/ml/datasets/CalIt2+Building+People+Counts,,,UCI Machine Learning Repository,,0,other
Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997,,http://archive.ics.uci.edu/ml/datasets/Car+Evaluation,,,UCI Machine Learning Repository,,0,other
Cardiotocography,Multivariate,Classification,Real,2126,23,2010,,http://archive.ics.uci.edu/ml/datasets/Cardiotocography,,,UCI Machine Learning Repository,,0,other
Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996,,http://archive.ics.uci.edu/ml/datasets/Census+Income,,,UCI Machine Learning Repository,,0,other
Census-Income (KDD),Multivariate,Classification,"Categorical, Integer",299285,40,2000,,http://archive.ics.uci.edu/ml/datasets/Census-Income+%28KDD%29,,,UCI Machine Learning Repository,,0,other
Challenger USA Space Shuttle O-Ring,Multivariate,Regression,Integer,23,4,1993,,http://archive.ics.uci.edu/ml/datasets/Challenger+USA+Space+Shuttle+O-Ring,,,UCI Machine Learning Repository,,0,other
Character Trajectories,Time-Series,"Classification, Clustering",Real,2858,3,2008,,http://archive.ics.uci.edu/ml/datasets/Character+Trajectories,,,UCI Machine Learning Repository,,0,other
Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36,1989,,http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29,,,UCI Machine Learning Repository,,0,other
Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994,,http://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29,,,UCI Machine Learning Repository,,0,other
Climate Model Simulation Crashes,Multivariate,Classification,Real,540,18,2013,,http://archive.ics.uci.edu/ml/datasets/Climate+Model+Simulation+Crashes,,,UCI Machine Learning Repository,,0,other
Cloud,Multivariate,,Real,1024,10,1989,,http://archive.ics.uci.edu/ml/datasets/Cloud,,,UCI Machine Learning Repository,,0,other
CNAE-9,"Multivariate, Text",Classification,Integer,1080,857,2012,,http://archive.ics.uci.edu/ml/datasets/CNAE-9,,,UCI Machine Learning Repository,,0,other
Coil 1999 Competition Data,Multivariate,,"Categorical, Real",340,17,1999,,http://archive.ics.uci.edu/ml/datasets/Coil+1999+Competition+Data,,,UCI Machine Learning Repository,,0,other
