"agency_acronym","agency_name","active_agency_name","policy_area","data_coordinator_appointed","data_inventory_or_inventory","open_data_plan_submitted","agency_open_data_publishing","agency_open_data_plan","current_reporting_period"
"BLSW","Board of Licensed Social Workers","LICENSED SOCIAL WORKERS BRD","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"BOA","Board of Accountancy","ACCOUNTANCY, OREGON BRD OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"BOLI","Bureau of Labor and Industries","LABOR & IND, BUREAU OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","EXCEPTION GRANTED","COMPLETED","PLANNING","The Bureau of Labor and Industries (BOLI) protects employment rights, advances employment opportunities, and protects access to housing and public accommodations free from discrimination for all Oregonians. It also regulates and supports apprenticeship programs to develop Oregonâ€™s workforce. 

The agency has five main areas that collect and maintain data: Commissionerâ€™s Office, Civil Rights, Wage and Hour, Apprenticeship, and Employer Assistance. The agency operates out of three physical office locations and has remote employees providing services throughout the state. 

BOLI is currently in the planning phase of the Open Data effort. The agency intends to develop a Data Inventory Plan by March 1, 2023, and complete a Data Inventory by June 1, 2023. As the agency prepares to embark on a database replacement project over the next few years, opportunities for open data will be identified.","2023"
"OSFM","Office of the State Fire Marshal","STATE FIRE MARSHAL, OR","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PLANNING","""The Oregon Office of State Fire Marshalâ€™s (OSFM) mission is to protect people, property, and the environment from fire and hazardous materials. The office carries out these duties through prevention education, inspections, code enforcement, and preparedness and response activities. The Office currently resides in the Department of State Police but will become its own agency effective July 1, 2023. 
OSFM experiences a significant workload increase between June and October each year as we make resources available for wildfire response. We are also in the middle of a two-year transition to becoming an independent agency. 
We have requested and been granted an extension of the deadline to submit our inventory until March 1, 2023. We will begin our initial inventory and data identification on June 3, 2022 with a meeting of our Executive Leadership Team.
""","2023"
"OSMB","Oregon State Marine Board","MARINE BOARD","NATURAL RESOURCES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The Oregon State Marine Board (OSMB) is Oregon's recreational boating agency. Our mission is to serve Oregon's recreational boating public through education, enforcement, access, and environmental stewardship for a safe and enjoyable experience.
For the current biennium 2021-2023, OSMB is in the planning phase to meet the Open Data Standard requirements. Our goal is to bring a selection of high-priority datasets to a five-star open data rating. The datasets identified in OSMB's inventory embody the data created by the agency for each section and program area to carry out its mission.
OSMB has completed an initial inventory and identified various datasets and reports accessible through ArcGIS Online in Maps, Applications, and Dashboards, at oregon.gov/osmb/, or on data.oregon.gov as the readiest datasets and reports to publish this biennium. A few of the publicly available datasets most ready are GIS datasets that include boating access sites, boated waterways, regulations and rules, clean vessel facilities, and boating obstructions. Preparation and publication of the datasets and reports will continue through the biennium while the Agency works on its Data Governance Plan.","2023"
"BOP","Board of Pharmacy","PHARMACY, OREGON BRD OF","HEALTH","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Oregon Board of Pharmacy serves to promote and protect public health, safety, and welfare by ensuring high standards in the practice of pharmacy and through effective regulation of the manufacture and distribution of drugs. 

Our Vision â€“ Partners for a Healthy Oregon

Our Values - These values reflect both how our Board and staff strive to conduct ourselves, and the behaviors we seek to instill across the practice of pharmacy in Oregon.

â€¢	Quality - We strive to deliver a consistent standard of excellence *Excellence *Value *Worth  
â€¢	Safety - We are committed to protecting the health, safety and welfare of the public *Protection *Security 
        *Care
â€¢	Integrity - We meet commitments to public health & safety and are accountable for our words and actions 
        *Honesty *Ethics *Respect
â€¢	Professionalism - We are committed to promoting excellence in pharmacy practice *Expertise *Commitment 
        *Competence
â€¢	Accountability - We accept responsibility for our actions, products, decisions and policies *Trust 
        *Responsibility *Transparency 

The agency is currently in the planning phase and working through the process of identifying data system inventories. The agency estimates that it will complete the data system inventory in July 2022. The Oregon Board of Pharmacy supports the Oregon Open Data Program and has prioritized completing the data system inventory process and identifying possible datasets for future publication.","2023"
"BSPA","Board of Examiners for Speech-Language Pathology & Audiology","SPEECH-LANG. PATH & AUD, EXAM BRD","HEALTH","COMPLETED","PENDING","PENDING","PENDING",,"2023"
"CCB","Oregon Construction Contractors Board","CONSTRUCTION CTR BRD","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","COMPLETED","PUBLISHING","The mission of Construction Contractors Board (CCB) is to protect and Serve Oregon Consumers, support responsible licensed contractors and promote a positive business climate.  We do that by delivering customer-focused, outcome-based programs that support a fair and competitive construction industry and robust consumer protections. The datasets captured within the CCB inventory each support one or more of the functions necessary to accomplish our mission.

CCB will focus on publication of the â€œLicense Information â€“ Currently Activeâ€ dataset during the upcoming biennium.  Because CCB is currently working on replacing the core business software for all our functions, work on this effort will begin after the start of the fiscal year and will encompass that single dataset on data.oregon.gov.","2023"
"CJC","Criminal Justice Commission","CRIMINAL JUSTICE CMSN","PUBLIC SAFETY","COMPLETED","COMPLETED","COMPLETED","PLANNING","The Criminal Justice Commission (CJC) works to improve the legitimacy, efficiency, and effectiveness of state and local criminal justice systems. The purpose of the Commission is to improve the effectiveness and efficiency of state and local criminal justice systems by providing a centralized and impartial forum for statewide policy development and planning. The Oregon Statistical Analysis Center (SAC) is housed at CJC and is the stateâ€™s clearinghouse for criminal justice data and research. As the stateâ€™s Statistical Analysis Center, the agency provides the Governor, Legislature, and public safety partners with access to data, objective research, and analysis related to public safety.
While CJC has access to many criminal justice data sources, the agency primarily collects a more limited number of data sources. CJC has inventoried six datasets and plans to focus publication on the STOP (Statistical Transparency of Policing) data as the agencyâ€™s most valuable data source. CJC will work to publish this data on data.oregon.gov by the end of the current biennium.","2023"
"DAS","Department of Administrative Services","ADMINISTRATIVE SRVCS, DEPT OF","ADMINISTRATION AND BUSINESS SERVICES","COMPLETED","COMPLETED","PENDING","PENDING",,"2023"
