Ordered Reference Number (ORN),Virtual Platform,Database (DB),Unique Identifier (UI),Authors (AU),Title (TI),Comments,Source/Publication (SO),Abstract (AB),Main Headers (MH),Other Designations (OD),Database notes 1,Database notes 2,Other notes (ON),Useful Related References 1,Keywords,Useful Related References 2,Observations,Secondary sources/access,
1,Ovid Technologies,Embase,2000850322,"Wang K.Y.

Uribe T.A.

Lincoln C.M.","Comparing lesion detection of infratentorial multiple sclerosis lesions between T2-weighted spin-echo, 2D-FLAIR, and 3D-FLAIR sequences.",,"Clinical Imaging. 51 (pp 229-234), 2018. Date of Publication: September - October 2018.","Purpose: Infratentorial lesions in patients with multiple sclerosis are associated with long-term disability. Two-dimensional fluid-attenuated inversion recovery demonstrates poor infratentorial lesion detection when compared to T2-weighted spin echo. Evidence of improved detection with 3D fluid-attenuated inversion recovery has been conflicting. This study compares the infratentorial lesion detection performance, observer performance, and signal and contrast properties between T2-weighted spin echo, 2D, and 3D fluid-attenuated inversion recovery.
Method(s): Two board-certified radiologists independently reviewed and counted infratentorial lesions from 85 brain MRIs in patients with clinically definite multiple sclerosis and concurrent 3D, 2D fluid-attenuated inversion recovery, and T2-weighted spin echo sequences. Contrast-to-noise and signal-to-noise ratios were measured for 25 MRIs. Wilcoxon signed-rank test was used for pairwise comparisons of the combined average infratentorial lesion count, contrast-to-noise, and signal-to-noise ratios, and was adjusted for three pairwise comparisons using Bonferroni correction. A corrected p value < 0.05 was considered statistically significant.
Result(s): The number of lesions on 3D fluid-attenuated inversion recovery was significantly higher than those on 2D (p < 0.001) and T2-weighted spin echo (p < 0.001). Results of contrast-to-noise and signal-to-noise ratios were overall mixed and predominantly not concordant with lesion count findings, with T2-weighted spin echo demonstrating the highest signal-to-noise ratios and contrast-to-noise ratio of lesion compared with white matter but the lowest contrast-to-noise ratio of lesion compared with gray matter.
Conclusion(s): The 3D fluid-attenuated inversion recovery sequence addresses the disadvantage of poor infratentorial lesion detection on 2D, while still maintaining the advantage over T2-weighted spin echo in the detection of lesions adjacent to the cerebrospinal fluid.
Copyright ¸ 2018","article

cerebrospinal fluid

contrast to noise ratio

human

*image reconstruction

*multiple sclerosis/di [Diagnosis]

*nuclear magnetic resonance imaging

*posterior fossa

priority journal

radiologist

signal noise ratio

white matter

nuclear magnetic resonance scanner

*T2 weighted spin echo

*three dimensional fluid attenuated inversion recovery

*two dimensional fluid attenuated inversion recovery","Article

cerebrospinal fluid

contrast to noise ratio

human

*image reconstruction

*multiple sclerosis / *diagnosis

*nuclear magnetic resonance imaging

*posterior fossa

priority journal

radiologist

signal noise ratio

white matter",,,,,,,,,
2,Ovid Technologies,Embase,625784536,"Ghribi O.

Sellami L.

Ben Slima M.

Ben Hamida A.

Mhiri C.

Mahfoudh K.B.",An Advanced MRI Multi-Modalities Segmentation Methodology Dedicated to Multiple Sclerosis Lesions Exploration and Differentiation.,Multiple sclerosis exploration based on automatic MRI modalities segmentation approach with advanced volumetric evaluations for essential feature extraction.,"IEEE transactions on nanobioscience. 16 (8) (pp 656-665), 2017. Date of Publication: 01 Dec 2017.","Multiple sclerosis (MS) is one of the most common neurological diseases in young people. This paper dealt with an automatic biomedical aided tool involving volumetric segmentation of multiple sclerosis lesions. To meet this challenge, our proposed methodology requires one preliminary cerebral zones segmentation performed using a new Gaussian mixture model based on various databases atlases. Afterward, lesion segmentation begins with the estimation of a lesion map, which is then subjected to threshold constraints and refined by a new lesion expansion algorithm. The evaluation was carried out on four clinical databases integrating various clinical cases which had different lesion loads and were presented by a set of MRI modalities at several noise levels. The results compared with those of the existing methods proved excellent cerebral segmentation with dice averages close to 0.8 and sensitivity and specificity averages greater than 0.9. In addition, depending on the used database, the lesion segmentation recorded mean values were close to or greater than 0.8 for the different metrics. The detection error and outline error averages were about 0.3. Besides the ability to identify the lesions affecting the different parts of the brain, even those spreading in the gray matter, the proposed methodology identified the lesions cores and their surrounding vasogenic edema. This has been thoroughly tested and validated by highly qualified radiologists and neurologists. The evaluation of the resulting discriminations recorded values close to or greater than 0.9 for dice, sensitivity, and specificity. As a valuable benefit, a computer aided diagnosis tool could be offered to clinicians. It would help efficiently during the MS diagnosis and avoid several confusions. Besides, it could be used for longitudinal survey and henceforth extends to other pathologies that could be explored by MRI modalities, such as glioblastoma or alzheimer's disease.","algorithm

brain

computer assisted diagnosis

diagnostic imaging

human

multiple sclerosis

normal distribution

nuclear magnetic resonance imaging

*procedures

three dimensional imaging","algorithm

brain

computer assisted diagnosis

diagnostic imaging

human

multiple sclerosis

normal distribution

nuclear magnetic resonance imaging

*procedures

three dimensional imaging",,,,,,,,,
3,Ovid Technologies,Embase,2001408223,"Freire P.G.L.

Ferrari R.J.",Multiple sclerosis lesion enhancement and white matter region estimation using hyperintensities in FLAIR images.,,"Biomedical Signal Processing and Control. 49 (pp 338-348), 2019. Date of Publication: March 2019.","FLAIR images are usually acquired in the context of multiple sclerosis (MS) because lesions appear hyperintense in this particular image weight. However, their intensity profile overlaps with white matter (WM) and gray matter (GM) tissues, posing difficulties for accurate segmentation. We propose a lesion enhancement technique to dim down WM and GM regions and highlight hyperintensities by creating a hyperintensity probability map. A byproduct of our proposal is the estimation of a mask encompassing WM and MS lesions. We observed that the lesion intensity profile in FLAIR was 25% and 19% brighter than WM and GM, respectively; comparatively, the same profile in our enhanced images was 444% and 264% brighter. On the mask estimation, we achieved a sensitivity of 99% and specificity of 98%. The results indicate significant improvement in the intensity distinction between lesions and tissues and can aid both experts and automated techniques in segmentation tasks.
Copyright ¸ 2018 Elsevier Ltd","adult

article

clinical article

controlled study

female

gray matter

human

*image enhancement

*multiple sclerosis

nonhuman

*nuclear magnetic resonance imaging

priority journal

sensitivity and specificity

*white matter","adult

Article

clinical article

controlled study

female

gray matter

human

*image enhancement

*multiple sclerosis

nonhuman

*nuclear magnetic resonance imaging

priority journal

sensitivity and specificity

*white matter",,,,,,,,,
3,Ovid Technologies,Ovid MEDLINE(R),27633800,"Oh SH

Shin W

Lee J

Lowe MJ",Variable density magnetization transfer (vdMT) imaging for 7T MR imaging.,,"Neuroimage. 168:242-249, 2018 03.","As the use of ultra-high field (UHF; >=7T) magnetic resonance (MR) imaging expands, there is an increasing need to establish high-resolution MR imaging protocols for patients with neurological disease. Magnetization transfer (MT) imaging has been used to provide information about changes in the magnitude of the restricted protons that are caused by tissue damages. Several studies have found that MTR has a good sensitivity to measure changes in myelin concentration within the brain. Because of the much higher specific absorption rate (SAR) of tissue and longer acquisition time required for UHF, however, in-vivo studies using conventional pulsed MT sequences at UHF have not been well utilized. In this study, we introduce a new MT data acquisition approach using a 7T MR system, variable density magnetization transfer (vdMT) imaging, which can be reasonably included in a routine patient scan protocol with a much shorter scan time and reduced discomfort to the patient. To reduce SAR and scan time while maintaining at least similar MTR image quality to that obtained with the conventional method, a higher density of MT RF pulses was applied in the center of k-space, and sparsely applied MT RF pulses were used in the outer part of k-space. The fraction of k-space receiving 100% MT RF density and TR were optimized based on in-vivo ROI analysis, and results were confirmed with high-resolution MTR map using a vdMT approach from healthy controls and patients with multiple sclerosis (MS). The experimental results confirmed that vdMT imaging can cover a whole brain volume in an acceptable scan time for routine patient scans while providing MTR image quality at least similar to that obtained with conventional MT imaging (correlation coefficient=0.95 in an agar-gel phantom [MT offset frequency=1kH], 0.90 in a postmortem MS brain, and 0.85 in the 4 healthy volunteers). MS lesions were associated with signal reductions in the postmortem MS brains and in the patients with MS. In this study, we have described a new approach for acquiring high-resolution MTR map of the whole brain volume using 7T MR imaging. This vdMT method provides similar image quality to that obtained with the conventional method, and shortens the scan time by reducing SAR. These results suggest that vdMT approach is a method that could be used for UHF scans of patients with neurological disease.
Copyright ¸ 2017 Elsevier Inc. All rights reserved.","*Brain/dg [Diagnostic Imaging]

Humans

*Magnetic Phenomena

*Magnetic Resonance Imaging/mt [Methods]

*Multiple Sclerosis/dg [Diagnostic Imaging]

Phantoms, Imaging",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Journal Article

Research Support, Non-U.S. Gov't","Oh, Se-Hong. Imaging Institute, Cleveland Clinic, 9500 Euclid Ave, Cleveland, OH 44195, USA; Division of Biomedical Engineering, Hankuk University of Foreign Studies, Yongin, Republic of Korea. Electronic address: jakeoh79@gmail.com.

Shin, Wanyong. Imaging Institute, Cleveland Clinic, 9500 Euclid Ave, Cleveland, OH 44195, USA.

Lee, Jongho. Laboratory for Imaging Science and Technology, Department of Electrical and Computer Engineering, Seoul National University, Seoul, Republic of Korea.

Lowe, Mark J. Imaging Institute, Cleveland Clinic, 9500 Euclid Ave, Cleveland, OH 44195, USA.",*7T;  *MT;  *MTR;  *Magnetization transfer imaging;  *Magnetization transfer ratio;  *UHF;  *Ultra-high field;  *Variable density MT,,,,
4,Ovid Technologies,Embase,625737684,"Kaunzner U.W.

Kang Y.

Zhang S.

Morris E.

Yao Y.

Pandya S.

Hurtado Rua S.M.

Park C.

Gillen K.M.

Nguyen T.D.

Wang Y.

Pitt D.

Gauthier S.A.",Quantitative susceptibility mapping identifies inflammation in a subset of chronic multiple sclerosis lesions.,,"Brain : a journal of neurology. 142 (1) (pp 133-145), 2019. Date of Publication: 01 Jan 2019.","Chronic active multiple sclerosis lesions, characterized by a hyperintense rim of iron-enriched, activated microglia and macrophages, have been linked to greater tissue damage. Post-mortem studies have determined that chronic active lesions are primarily related to the later stages of multiple sclerosis; however, the occurrence of these lesions, and their relationship to earlier disease stages may be greatly underestimated. Detection of chronic active lesions across the patient spectrum of multiple sclerosis requires a validated imaging tool to accurately identify lesions with persistent inflammation. Quantitative susceptibility mapping provides efficient in vivo quantification of susceptibility changes related to iron deposition and the potential to identify lesions harbouring iron-laden inflammatory cells. The PET tracer 11C-PK11195 targets the translocator protein expressed by activated microglia and infiltrating macrophages. Accordingly, this study aimed to validate that lesions with a hyperintense rim on quantitative susceptibility mapping from both relapsing and progressive patients demonstrate a higher level of innate immune activation as measured on 11C-PK11195 PET. Thirty patients were enrolled in this study, 24 patients had relapsing remitting multiple sclerosis, six had progressive multiple sclerosis, and all patients had concomitant MRI with a gradient echo sequence and PET with 11C-PK11195. A total of 406 chronic lesions were detected, and 43 chronic lesions with a hyperintense rim on quantitative susceptibility mapping were identified as rim+ lesions. Susceptibility (relative to CSF) was higher in rim+ (2.42 +/- 17.45 ppb) compared to rim- lesions (-14.6 +/- 19.3 ppb, P < 0.0001). Among rim+ lesions, susceptibility within the rim (20.04 +/- 14.28 ppb) was significantly higher compared to the core (-5.49 +/- 14.44 ppb, P < 0.0001), consistent with the presence of iron. In a mixed-effects model, 11C-PK11195 uptake, representing activated microglia/macrophages, was higher in rim+ lesions compared to rim- lesions (P = 0.015). Validating our in vivo imaging results, multiple sclerosis brain slabs were imaged with quantitative susceptibility mapping and processed for immunohistochemistry. These results showed a positive translocator protein signal throughout the expansive hyperintense border of rim+ lesions, which co-localized with iron containing CD68+ microglia and macrophages. In conclusion, this study provides evidence that suggests that a hyperintense rim on quantitative susceptibility measure within a chronic lesion is a correlate for persistent inflammatory activity and that these lesions can be identified in the relapsing patients. Utilizing quantitative susceptibility measure to differentiate chronic multiple sclerosis lesion subtypes, especially chronic active lesions, would provide a method to assess the impact of these lesions on disease progression.","adult

article

brain

controlled study

disease exacerbation

female

histopathology

human

human cell

human tissue

immunohistochemistry

in vivo study

*inflammatory cell

macrophage

major clinical study

male

microglia

*multiple sclerosis

nuclear magnetic resonance imaging

quantitative analysis

remission

carrier protein

iron

n sec butyl 1 (2 chlorophenyl) n methyl 3 isoquinolinecarboxamide c 11

tracer","adult [m]

article [m]

brain [m]

controlled study [m]

disease exacerbation [m]

female [m]

histopathology [m]

human [m]

human cell [m]

human tissue [m]

immunohistochemistry [m]

in vivo study [m]

*inflammatory cell [m]

macrophage [m]

major clinical study [m]

male [m]

microglia [m]

*multiple sclerosis [m]

nuclear magnetic resonance imaging [m]

quantitative analysis [m]

remission [m]","carrier protein [m]

iron [m]

n sec butyl 1 (2 chlorophenyl) n methyl 3 isoquinolinecarboxamide c 11 [m]

tracer [m]",,,,,,,,
5,Ovid Technologies,Ovid MEDLINE(R),28370651,"Andermatt S

Papadopoulou A

Radue EW

Sprenger T

Cattin P",Tracking the Evolution of Cerebral Gadolinium-Enhancing Lesions to Persistent T1 Black Holes in Multiple Sclerosis: Validation of a Semiautomated Pipeline.,,"Journal of Neuroimaging. 27(5):469-475, 2017 Sep.","BACKGROUND: Some gadolinium-enhancing multiple sclerosis (MS) lesions remain T1-hypointense over months (""persistent black holes, BHs"") and represent areas of pronounced tissue loss. A reduced conversion of enhancing lesions to persistent BHs could suggest a favorable effect of a medication on tissue repair. However, the individual tracking of enhancing lesions can be very time-consuming in large clinical trials.

PURPOSE: We created a semiautomated workflow for tracking the evolution of individual MS lesions, to calculate the proportion of enhancing lesions becoming persistent BHs at follow-up.

METHODS: Our workflow automatically coregisters, compares, and detects overlaps between lesion masks at different time points. We tested the algorithm in a data set of Magnetic Resonance images (1.5 and 3T; spin-echo T1-sequences) from a phase 3 clinical trial (n = 1,272), in which all enhancing lesions and all BHs had been previously segmented at baseline and year 2. The algorithm analyzed the segmentation masks in a longitudinal fashion to determine which enhancing lesions at baseline turned into BHs at year 2. Images of 50 patients (192 enhancing lesions) were also reviewed by an experienced MRI rater, blinded to the algorithm results.

RESULTS: In this MRI data set, there were no cases that could not be processed by the algorithm. At year 2, 417 lesions were classified as persistent BHs (417/1,613 = 25.9%). The agreement between the rater and the algorithm was > 98%.

CONCLUSIONS: Due to the semiautomated procedure, this algorithm can be of great value in the analysis of large clinical trials, when a rater-based analysis would be time-consuming.
Copyright ¸ 2017 by the American Society of Neuroimaging.","*Brain/dg [Diagnostic Imaging]

Brain/pa [Pathology]

Gadolinium

Humans

*Magnetic Resonance Imaging/mt [Methods]

*Multiple Sclerosis/dg [Diagnostic Imaging]

Multiple Sclerosis/pa [Pathology]",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,"Journal Article

Validation Studies","Andermatt, Simon. Department of Biomedical Engineering, University of Basel, Basel, CH.

Papadopoulou, Athina. Neurology Clinic and Policlinic, University Hospital Basel and University of Basel, Basel, CH.

Papadopoulou, Athina. Medical Image Analysis Center, Basel, CH.

Radue, Ernst-Wilhelm. Medical Image Analysis Center, Basel, CH.

Sprenger, Till. Neurology Clinic and Policlinic, University Hospital Basel and University of Basel, Basel, CH.

Sprenger, Till. Medical Image Analysis Center, Basel, CH.

Sprenger, Till. Department of Neurology, DKD HELIOS Klinik Wiesbaden, Wiesbaden, Germany.

Cattin, Philippe. Department of Biomedical Engineering, University of Basel, Basel, CH.",Automatic tracking;  MRI;  algorithm;  enhancing lesions;  hypointense lesions,,AU0V1LM3JT (Gadolinium),,
5,Ovid Technologies,Embase,625367434,"Olmstead T.A.

Chiarelli P.A.

Griggs D.J.

McClintic A.M.

Myroniv A.N.

Mourad P.D.",Transcranial and pulsed focused ultrasound that activates brain can accelerate remyelination in a mouse model of multiple sclerosis.,,"Journal of Therapeutic Ultrasound. 6 (1) (no pagination), 2018. Article Number: 11. Date of Publication: 10 Dec 2018.","Background: Multiple sclerosis (MS) impacts approximately 400,000 in the United States and is the leading cause of disability among young to middle aged people in the developed world. Characteristic of this disease, myelin within generally focal volumes of brain tissue wastes away under an autoimmune assault, either inexorably or through a cycle of demyelination and remyelination. This centrally located damage produces central and peripheral symptoms tied to the portion of brain within the MS lesion site. Interestingly, Gibson and colleagues noted that optical activation of transgenically tagged central neurons increased the thickness of the myelin sheath around those neurons. Since ultrasound, delivered transcranially, can also activate brain focally, we hypothesized that ultrasound stimulation that followed the temporal pattern of Gibson et al. applied to MS lesions in a mouse model might either decelerate the demyelination phase or accelerate its remyelination phase.
Method(s): We created a temporal pattern of ultrasound delivery that conformed to that of Gibson et al. and capable of activating mouse brain. We then applied ultrasound, transcranially, following that temporal pattern to separate cohorts of a mouse model of multiple sclerosis, using three different ultrasound carrier frequencies (0.625 MHz, 1.09 MHz, 2.0 MHz), during each of the demyelinating and remyelinating phases. After identifying the most promising protocol and MS brain state through qualitative analysis of myelin content, we performed additional studies for that condition then assayed for change in myelin content via quantitative analysis.
Result(s): We identified one ultrasound protocol that significantly accelerated remyelination, without damage, as demonstrated with histological analysis.
Conclusion(s): MRI-guided focused ultrasound systems exist that can, in principle, deliver the ultrasound protocol we successfully tested here. In addition, MRI, as the clinical gold standard, can readily identify MS lesions. Given the relatively low intensity values of our ultrasound protocol - close to FDA limits - we anticipate that future success with this approach to MS therapy as tested using more realistic MS mouse models may one day translate to clinical trials that help address this devastating disease.
Copyright ¸ 2018 The Author(s).","adult

anesthesia

animal experiment

animal model

animal tissue

article

brain

demyelination

electroencephalogram

electroencephalography monitoring

hippocampus

histology

image analysis

male

mouse

*multiple sclerosis

nonhuman

nuclear magnetic resonance imaging

priority journal

*pulsed Doppler ultrasonography

quantitative analysis

*remyelinization

*transcranial Doppler ultrasonography

cuprizone

isoflurane

ketamine

myelin/ec [Endogenous Compound]

xylazine

oscilloscope","adult

anesthesia

animal experiment

animal model

animal tissue

Article

brain

demyelination

electroencephalogram

electroencephalography monitoring

hippocampus

histology

image analysis

male

mouse

*multiple sclerosis

nonhuman

nuclear magnetic resonance imaging

priority journal

*pulsed Doppler ultrasonography

quantitative analysis

*remyelinization

*transcranial Doppler ultrasonography","cuprizone

isoflurane

ketamine

myelin / endogenous compound

xylazine",,,,,,,,
6,Ovid Technologies,Embase,625447335,"Yu F.F.

Chiang F.L.

Stephens N.

Huang S.Y.

Bilgic B.

Tantiwongkosi B.

Romero R.",Characterization of normal-appearing white matter in multiple sclerosis using quantitative susceptibility mapping in conjunction with diffusion tensor imaging.,,"Neuroradiology. (no pagination), 2018. Date of Publication: 2018.","Purpose: Quantitative susceptibility mapping (QSM) is influenced by iron as well as myelin, which makes interpretation of pathologic changes challenging. Concurrent acquisition of MR sequences that are sensitive to axonal/myelin integrity, such as diffusion tensor imaging (DTI), may provide context for interpreting quantitative susceptibility (QS) signal. The purpose of our study was to investigate alterations in normal-appearing white matter (NAWM) in multiple sclerosis (MS) using QSM in conjunction with DTI.
Method(s): Twenty relapsing-remitting MS patients and 20 age-matched healthy controls (HC) were recruited for this prospective study. QS, radial diffusivity (RD), fractional anisotropy (FA), and R2* maps within the whole brain as well as individual tracts were generated for comparison between NAWM and HC white matter (HCWM).
Result(s): MS lesions demonstrated significant differences in QS, FA, RD, and R2* compared to HCWM (p < 0.03). These metrics did not show a significant difference between whole-brain NAWM and HCWM. Among NAWM tracts, the cingulate gyri demonstrated significantly decreased QS compared to HCWM (p = 0.004). The forceps major showed significant differences in FA and RD without corresponding changes in QS (p < 0.01).
Conclusion(s): We found discordant changes in QSM and DTI metrics within the cingulate gyri and forceps major. This may potentially reflect the influence of paramagnetic substrates such as iron, which could be decreased along these NAWM tracts. Our results point to the potential role of QSM as a unique biomarker, although additional validation studies are needed.
Copyright ¸ 2018, Springer-Verlag GmbH Germany, part of Springer Nature.","adult

article

cingulate gyrus

clinical article

controlled study

*diffusion tensor imaging

female

forceps

fractional anisotropy

genetic susceptibility

human

male

*multiple sclerosis

prospective study

radial diffusivity

remission

validation study

*white matter

biological marker

iron","adult [m]

article [m]

cingulate gyrus [m]

clinical article [m]

controlled study [m]

*diffusion tensor imaging [m]

female [m]

forceps [m]

fractional anisotropy [m]

genetic susceptibility [m]

human [m]

male [m]

*multiple sclerosis [m]

prospective study [m]

radial diffusivity [m]

remission [m]

validation study [m]

*white matter [m]","biological marker [m]

iron [m]",,,,,,,,
6,Ovid Technologies,Ovid MEDLINE(R),28488804,"Newton BD

Wright K

Winkler MD

Bovis F

Takahashi M

Dimitrov IE

Sormani MP

Pinho MC

Okuda DT",Three-Dimensional Shape and Surface Features Distinguish Multiple Sclerosis Lesions from Nonspecific White Matter Disease.,,"Journal of Neuroimaging. 27(6):613-619, 2017 Nov.","BACKGROUND AND PURPOSE: There remains a need to further refine the ability of clinicians to differentiate multiple sclerosis (MS) from other disease etiologies. Here, we illustrate the value of 3-dimensional (3D) geometric shape and surface lesion characteristics between disease states.

METHODS: Standardized 3-Tesla 3D brain magnetic resonance imaging studies were performed on enrolled MS and nonspecific white matter (NSWM) patients. Focal supratentorial lesions were identified, reconstructed using maximum intensity projection, manually segmented, and 3D printed. Printed 3D models were randomly evaluated by three blinded raters for selected shape and surface characteristics. Regression models adjusting for age, disease duration, and individual patient effects were applied to assess lesion characteristics between patient groups. Patient-level and latent class analyses between groups were performed.

RESULTS: A total of 1,001 supratentorial lesions were analyzed (710 MS; 291 NSWM) from 30 patients (19 with confirmed MS [11 female; median age = 33.6 years, range: 26.9-54.5], median disease duration = 2.2 years [.4-19.4]), 11 with verified nonspecific white matter (NSWM) disease without MS (11 female; median age = 55.0 years, range: 27.9-66.2). Lesions originating from MS in comparison to NSWM patients demonstrated a higher percentage of asymmetry (75.9% vs. 43%; OR: 4.39 [2.37-8.12]; P < .001), complex surface morphologies (65.9% vs. 27.8%; OR: 2.3 [1.74-3.05]; P < .001), and were multilobular (11.0% vs. .3%, P < .001), and elongated (12.8% vs. 2.4%, P < .001) in shape. Spatially, these traits were of higher frequency within the juxtacortical, deep white matter, and periventricular regions.

CONCLUSION: Three-dimensional lesion data may provide new biologic insights related to injury along with offering another approach for determining the origin of lesion types.
Copyright ¸ 2017 by the American Society of Neuroimaging.","Adult

*Brain/dg [Diagnostic Imaging]

Brain/pa [Pathology]

Diagnosis, Differential

Female

Humans

*Leukoencephalopathies/dg [Diagnostic Imaging]

Leukoencephalopathies/pa [Pathology]

Magnetic Resonance Imaging/mt [Methods]

Male

Middle Aged

*Multiple Sclerosis/dg [Diagnostic Imaging]

Multiple Sclerosis/pa [Pathology]

*White Matter/dg [Diagnostic Imaging]

White Matter/pa [Pathology]",1,"From MEDLINE, a database of the U.S. National Library of Medicine.",MEDLINE,Journal Article,"Newton, Braeden D. UT Southwestern Medical Center, Department of Neurology & Neurotherapeutics, Neuroinnovation Program, Multiple Sclerosis & Neuroimmunology Imaging Program, Clinical Center for Multiple Sclerosis, Dallas, TX.

Wright, Katy. UT Southwestern Medical Center, Department of Neurology & Neurotherapeutics, Neuroinnovation Program, Multiple Sclerosis & Neuroimmunology Imaging Program, Clinical Center for Multiple Sclerosis, Dallas, TX.

Winkler, Mandy D. UT Southwestern Medical Center, Department of Neurology & Neurotherapeutics, Neuroinnovation Program, Multiple Sclerosis & Neuroimmunology Imaging Program, Clinical Center for Multiple Sclerosis, Dallas, TX.

Bovis, Francesca. University of Genoa, Department of Health Sciences (DISSAL), Genoa, Italy.

Takahashi, Masaya. Advanced Imaging Research Center, UT Southwestern Medical Center, Dallas, TX.

Dimitrov, Ivan E. Advanced Imaging Research Center, UT Southwestern Medical Center, Dallas, TX.

Dimitrov, Ivan E. Philips Medical Systems, Cleveland, OH.

Sormani, Maria Pia. University of Genoa, Department of Health Sciences (DISSAL), Genoa, Italy.

Pinho, Marco C. UT Southwestern Medical Center, Department of Radiology, Dallas, TX.

Okuda, Darin T. UT Southwestern Medical Center, Department of Neurology & Neurotherapeutics, Neuroinnovation Program, Multiple Sclerosis & Neuroimmunology Imaging Program, Clinical Center for Multiple Sclerosis, Dallas, TX.",3-dimensional;  MRI;  Multiple sclerosis;  nonspecific white matter disease,,,,
7,Ovid Technologies,Embase,2001375920,"Valverde S.

Salem M.

Cabezas M.

Pareto D.

Vilanova J.C.

Ramio-Torrenta L.

Rovira A.

Salvi J.

Oliver A.

Llado X.",One-shot domain adaptation in multiple sclerosis lesion segmentation using convolutional neural networks.,,"NeuroImage: Clinical. (no pagination), 2018. Article Number: 101638. Date of Publication: 2018.","In recent years, several convolutional neural network (CNN) methods have been proposed for the automated white matter lesion segmentation of multiple sclerosis (MS) patient images, due to their superior performance compared with those of other state-of-the-art methods. However, the accuracies of CNN methods tend to decrease significantly when evaluated on different image domains compared with those used for training, which demonstrates the lack of adaptability of CNNs to unseen imaging data. In this study, we analyzed the effect of intensity domain adaptation on our recently proposed CNN-based MS lesion segmentation method. Given a source model trained on two public MS datasets, we investigated the transferability of the CNN model when applied to other MRI scanners and protocols, evaluating the minimum number of annotated images needed from the new domain and the minimum number of layers needed to re-train to obtain comparable accuracy. Our analysis comprised MS patient data from both a clinical center and the public ISBI2015 challenge database, which permitted us to compare the domain adaptation capability of our model to that of other state-of-the-art methods. In both datasets, our results showed the effectiveness of the proposed model in adapting previously acquired knowledge to new image domains, even when a reduced number of training samples was available in the target dataset. For the ISBI2015 challenge, our one-shot domain adaptation model trained using only a single case showed a performance similar to that of other CNN methods that were fully trained using the entire available training set, yielding a comparable human expert rater performance. We believe that our experiments will encourage the MS community to incorporate its use in different clinical settings with reduced amounts of annotated data. This approach could be meaningful not only in terms of the accuracy in delineating MS lesions but also in the related reductions in time and economic costs derived from manual lesion labeling.
Copyright ¸ 2018","adult

article

*brain

controlled study

human

*multiple sclerosis

*nuclear magnetic resonance scanner

patient coding","adult [m]

article [m]

*brain [m]

controlled study [m]

human [m]

*multiple sclerosis [m]

*nuclear magnetic resonance scanner [m]

patient coding [m]",,,,,,,,,
