Year,Month,Area,Article,Author,Score,Sex,Notes,Funding,Clinical vs Biomedical,NIH
1999,January,N/A,Leptin Enhances Glycogen Storage in Hepatocytes by Inhibition of Phosphorylase and Exerts an Additive Effect With Insulin,Aiston et al,1,Male,Hepatocytes cultred from male Winstar rats. No justifiction for female exclusion,"the Medical Research Council, the British Diabetic Association, Juvenile Diabetes Foundation",Biomedical,No
1999,January,N/A,Beta-cell destruction in NOD mice correlates with Fas (CD95) expression on beta-cells and proinflammatory cytokine expression in islets.,Suarez-Pinzon et al,1,Female,Islets grafted from male NOD mice (unclear if they were diabetec or not) into female NOD mice who were diabetic. No rationale given for the sex of the donors/ recipients. Score of 1 awarded as as subsequents tests done only on the recipient mice.,"The Medical Research Council of Canada, Canadian Diabetes Association, the Muttart Diabetes Research and Training center grant (UofAlberta), MacLachlan Fund of the University of Alberta Hospitals.",Biomedical,No
1999,January,N/A,Contribution of ductal cells to cytokine responses by human pancreatic islets,Pavlovic et al,0,,"Used human pancreatic islet cells, but do not mention the sex of the donors","Belgian Fonds voor Wetenschappelijk Onderzoek, Juvenile Diabetes Foundation",Biomedical,No
1999,January,N/A,Absolute requirement of macrophages for the development and activation of beta-cell cytotoxic CD8+ T-cells in T-cell receptor transgenic NOD mice.,Jun et al,1,Female,"Used NOD mice, but did not explain why they did not include males","The Medical Research Council of Canada, Canadian Diabetes Foundation, the MRC, Juvenile Diabetes Foundation International",Biomedical,No
1999,January,N/A,Recombinant human platelet-activating factor acetylhydrolase reduces the frequency of diabetes in the diabetes-prone BB rat.,Lee et al,1,Male,"Used BB/Wor rats, did not specify why they did not include females","ICOS Corporation, NIH, University of Washington Diabetes Endocrine Research Center, Juvenile Diabetes Foundation International",Biomedical,Yes
1999,January,N/A,Non-major histocompatibility complex-linked diabetes susceptibility loci on chromosomes 4 and 13 in a backcross of the DP-BB/Wor rat to the WF rat.,Martin et al,3,,States that both sexes were equally represented in each phenotypic category. However no results were presented seperately by sex,"NIH, Juvenile Diabetes Foundation International",Biomedical,Yes
1999,January,N/A,"Pituitary cotransplantation significantly improves the performance, insulin content, and vascularization of renal subcapsular islet grafts",Davalli et al,1,Male,Used CD1 mice as donors for their STZ-diabetic nude mice (both were all male). No reason given for female exclusion,Telethon-Italy,Biomedical,No
1999,January,N/A,"Heme oxygenase and carbon monoxide: regulatory roles in islet hormone release: a biochemical, immunohistochemical, and confocal microscopic study",Henningsson et al,1,Female,Used NMRI mice. No reason given for male exclusion,"The foundation of Magnus Bergvall, Crafoord, Albert Påhlsson, Åke Wiberg, and Thelma Zoega, The Swedish Medical Research Council, the Swedish Diabetes Association",Biomedical,No
1999,January,N/A,Subtype-selective expression of the five somatostatin receptors (hSSTR1-5) in human pancreatic islet cells: a quantitative double-label immunohistochemical analysis,Kumar et al,3,,"Did perform one experiment working with rat tissues (of which all were male), but the vast majority of the study was focused on human islet cells which came from male and female donors. No data analyzed by sex","the Canadian Medical Research Council, NIH, US Department of Defense",Biomedical,Yes
1999,January,N/A,Surgical removal of visceral fat reverses hepatic insulin resistance,Barzilai et al,1,Male,Used Sprague-Dawley rats. No reason for female exclusion,"NIH, American Diabetes Association, Core Laboratories of the Albert Einstein Diabetes Research and Training Center",Biomedical,Yes
1999,January,N/A,Induction of insulin resistance by glucosamine reduces blood flow but not interstitial levels of either glucose or insulin,Holmäng et al,1,Female,Used Sprague-Dawley rats. No reason given for male exclusion.,"Swedish Medical Research Council, the Swedish Society of Medicine, the Swedish Diabetes Association, Nordisk Insulinfond, and the Inga-Britt and Arne Lundberg Foundation",Biomedical,No
1999,January,N/A,Relationships between maternal risk of insulin resistance and the child's muscle membrane fatty acid composition,Baur et al,3,,"Used both sexes and reported that the sex of the child did not effect their results, but failed to provide any actual sex segregated data/ results","Children’s Hospital Fund, Hoechst Diabetes Research and Development, the Diabetes Australia Research Trust, the National Health and Medical Research Council (Australia)",Biomedical,No
1999,January,N/A,Trp64Arg mutation of beta3-adrenoceptor gene deteriorates lipolysis induced by beta3-adrenoceptor agonist in human omental adipocytes,Umekawa et al,1,Female,"Selection was done for female patients only because they collected their samples from women about to undergo hysterectomies, but the choice to collect samples in this way (i.e. in a way that excludes men) not given.","Grants-in-Aid for Scientific Research from the Ministry of Education, Science, Sports, and Culture of Japan, from All Japan Coffee Association, and from the Smoking Research Foundation in Japan",Biomedical,No
1999,January,N/A,Regulation of putative fatty acid transporters and Acyl-CoA synthetase in liver and adipose tissue in ob/ob mice,Memon et al,0,,"Used ob/ob mice, but didn't mention the sex.","NIH, US Department of Verterans Affairs",Biomedical,Yes
1999,January,N/A,Downregulation of uncoupling protein 2 mRNA in white adipose tissue and uncoupling protein 3 mRNA in skeletal muscle during the early stages of leptin treatment.,Combatsiaris et al,1,Female,C57BI/6J mice were used. No reason given for male exlcusion,"NIH, American Diabetes Association, Merek",Biomedical,Yes
1999,January,N/A,"Differential effects of safflower oil versus fish oil feeding on insulin-stimulated glycogen synthesis, glycolysis, and pyruvate dehydrogenase flux in skeletal muscle: a 13C nuclear magnetic resonance study",Jucker et al,0,,"Used Sprague-Dawley rats, but the sex was not mentioned","US public Health Service, American Diabetes Association, Bristol-Myers Squibb",Biomedical,Yes
1999,January,N/A,Effects of recurrent hypoglycemia on brainstem function in diabetic BB rats: protective adaptation during acute hypoglycemia,Jacob et al,1,Male,Used diabetic male BB/Wor rats. No reason for female exclusion,NIH,Biomedical,Yes
1999,January,N/A,Enhanced insulin-stimulated activation of phosphatidylinositol 3-kinase in the liver of high-fat-fed rats,Anai et al,1,Male,"Used Male Sprague-Dawley rats, no justification for female exclusion",N/A,Biomedical,N/A
1999,January,N/A,Relationship of beta-cell function and autoantibodies to progression and nonprogression of subclinical type 1 diabetes: follow-up of the Seattle Family Study,Greenbaum et al,3,,Involved both males and females. No data presented by sex.,"NIH, US Department of Verterans Affairs, ",Biomedical,Yes
1999,January,N/A,"Under control of the Ren-1c promoter, locally produced transforming growth factor-beta1 induces accumulation of glomerular extracellular matrix in transgenic mice",Wogensen et al,0,,"Did not explicitly state that they used both sexes, but said that they used sex matched controls. However this does not necessarily mean that both sexes were involved. ","the Institute of Experimental Clinical Research, Aarhus University, Denmark, the Novo Nordisk Foundation, and Anna og Tage Meller’s Foundation, Juvenile Diabetes Foundation International",Biomedical,No
1999,January,N/A,"No evidence for association between IDDMK(1,2)22, a novel isolated retrovirus, and IDDM",Jaeckel et al,0,,"No mention of sex, but used 6 IDDM patients and 6 control individuals who were age matched",Bundesministerium fuer Bildung und Forschung Grant,Biomedical,No
1999,January,N/A,IDDM patients neither show humoral reactivities against endogenous retroviral envelope protein nor do they differ in retroviral mRNA expression from healthy relatives or normal individuals,Badenhoop et al,0,,No mention of sex,"Deutsche Forschungsgemeinschaft, and a grant from the European Union",Biomedical,No
1999,January,N/A,"The IDDMK(1,2)22 retrovirus is not detectable in either mRNA or genomic DNA from patients with type 1 diabetes",Muir et al,3,,Both men and women involved. No data presented by sex.,"NIH, Juvenile Diabetes Foundation International",Biomedical,Yes
1999,January,N/A,Plasma triglyceride reduction in mice after direct injections of muscle-specific lipoprotein lipase DNA,Schlaepfer et al,1,Male,"C57BL/J6 mice were used, no reason given for female exclusion",NIH,Biomedical,Yes
1999,January,N/A,"Hormone-sensitive lipase, the rate-limiting enzyme in triglyceride hydrolysis, is expressed and active in beta-cells",Mulder et al,0,,"Used a variety of different cell strains, and islets from NMRI mice and Sprague-Dawley rats --> sex was not specified in any case","Swedish Medical Research council, Swedish Diabetes Association, Swedish Society for Medical Research, Novo Nordisk, the Faculty of Medicine (Lund University), and the Albert Påhlsson, Wiberg, Cornell and Crafoord
Foundations",Biomedical,No
1999,February,N/A,"Troglitazone, an antidiabetic agent, inhibits cholesterol biosynthesis through a mechanism independent of peroxisome proliferator-activated receptor-gamma",Wang et al.,1,Female,"Score of 1 awarded, as researchers used CHO (Chinese Hamster Ovary) cells fpr the majority of experiments, but failed to make any reference to how sex may influence results/ why they chose female cells for their experiment. Researchers do not specify these cells are female, but do clarify what CHO stands for. Additional experiments were performed in other cell types to confirm results ( HepG2, 3T3L1, and L6 cells), but the sex of these cells is not discussed. ",N/A,Biomedical,N/A
1999,February,N/A,"Altered energy balance causes selective changes in melanocortin-4(MC4-R), but not melanocortin-3 (MC3-R), receptors in specific hypothalamic regions: further evidence that activation of MC4-R is a physiological inhibitor of feeding",Harrold et al.,1,Male,"Score of 1 awarded, as only male animals were used and no explaination was provided for female exclusion. Male Winstar and Zucker (both fatty, Fa/Fa, and lean, Fa/?) rats were used.",Astra Hassle AB,Biomedical,No
1999,February,N/A,Regulation of ob gene expression and leptin secretion by insulin and dexamethasone in rat adipocytes.,Bradley et al.,1,Male,"Score of 1 awarded, as only male rats (Sprauge-Dawley) were used. No justification for female exclusion was provided.  ",Boehringer Mannheim Corporation,Biomedical,No
1999,February,N/A,Functional properties of leptin receptor isoforms: internalization and degradation of leptin and ligand-induced receptor downregulation.,Uotani et al.,1,Female,"Score of 1 awarded, as experiment used chinese hamster ovary cells for most experiments. Cell sex was not explicitly discussed, but ovary cells can only be female. Some experiments also included COS cells, but the sex of these cells was not mentioned (and these cells were only used for some experiments, while CHO cells were used for most). ","Eli Lilly, NIH",Biomedical,Yes
1999,February,N/A,Microinjection of leptin into the ventromedial hypothalamus increases glucose uptake in peripheral tissues in rats.,Minokoshi et al.,1,Male,"Score of 1 awarded, as only male rats (Sprague-Dawley) were used. No justification for female exclusion is provided.  ","Ministry of Education, Science, Sports and Culture of Japan",Biomedical,No
1999,February,N/A,Genes expressed during the differentiation of pancreatic AR42J cells into insulin-secreting cells.,Mashima et al.,0,N/A,"Score of 0 awarded, as the sex of the cells used (AR42J and AR42J-B20 cells) was not specified. ","Grants-in-Aid for Scientific Research and for Creative Basic Research from The Ministry of Education, Science, Sports and Culture of Japan, the Uehara Foundation, the Yamanouchi Foundation for Research on Metabolic Disease, the Novartis Foundation for the Promotion of Science, the Life Science Foundation of Japan, and the Juvenile Diabetes Foundation International",Biomedical,No
1999,February,N/A,Glucosamine infusion in rats rapidly impairs insulin stimulation of phosphoinositide 3-kinase but does not alter activation of Akt/protein kinase B in skeletal muscle.,Kim et al.,1,Male,"Score of 1 awarded, as only male Sprague-Dawley rats were used. No justification for female exclusion was provided. ","NIH, American Diabetes Association, Swedish Medical Research Council",Biomedical,Yes
1999,February,N/A,Hepatic glucose cycling does not contribute to the development of hyperglycemia in Zucker diabetic fatty rats.,Henly et al.,0,N/A,"Score of 0 awarded, as the sex of the animals used (ZDF rats) was not mentioned. ","National Health and Medical Research Council of Australia, the Flinders University of South Australia Research Budget, and Flinders 2000",Biomedical,No
1999,February,N/A,An Insulin Sensitizer Improves the Free Radical Defense System Potential and Insulin Sensitivity in High Fructose-Fed Rats,Faure et al.,1,Male,"Score of 1 awarded, as only male Winstar rats were used. No explaination for female exclusion. ",N/A,Biomedical,N/A
1999,February,N/A,Induction of obesity and hyperleptinemia by central glucocorticoid infusion in the rat.,Zakrzewska et al.,0,N/A,"Score of 0 awarded, as the sex of the rats used ('normal' Zucker strain, Fa/Fa) was not specified. ","Swiss National Science Foundation, Novartis Pharma A.G.",Biomedical,No
1999,February,N/A,Hyperglycemia-Induced Embryonic Dysmorphogenesis Correlates With Genomic DNA Mutation Frequency In Vitro and In Vivo,Lee et al.,0,N/A,"Score of 0 awarded, as the sex of the embryos under study was not specified. In vitro embryo cultures came from B6D2/J F1 female mice mated with C57B/6 transgenic male mice. In vivo studies involved embryos which came from female U strain rats (derivative of Sprauge-Dawley) mated with male Big Blue transgenic rats.","Ernfors Family Fund, the Swedish Diabetes Association, the Juvenile Diabetes Foundation International, the Novo Nordisk Foundation, and the Swedish Medical Research Council",Biomedical,No
1999,February,N/A,"Inhibitory effect of a growth hormone receptor antagonist (G120K-PEG) on renal enlargement, glomerular hypertrophy, and urinary albumin excretion in experimental diabetes in mice.",Flyvbjerg et al.,1,Female,"Score of 1 awarded, as only female mice were used for this experiment (Balb/C(a) mice), and no justifaction for male exclusion was stated. ","Danish Medical Research Council, Danish Kidney Foundation, the Ruth Konig Petersen Foundation, the Novo Foundation, the Aage Louis-Hansen Memorial Foundation, the Nordic Insulin Foundation, the Eva and Henry Fraenkels Memorial Foundation, and the Aarhus University-Novo Nordisk Center for Research in Growth and Regeneration",Biomedical,No
1999,February,N/A,A sib-pair analysis study of 15 candidate genes in French families with morbid obesity: indication for linkage with islet 1 locus on chromosome 5q.,Clément et al.,3,N/A,"Score of 3 awarded, as both men and women were involved in the study. However, results were adjusted for sex ""and other covariates"" through multiple regressions prior to analysis. Sex was therefore not treated adequetley as an independent variable. ",Direction de la Recherche Clinique/Assistance Publique-Hôpitaux de Paris and the Programme Hospitalier de Recherche Clinique,Biomedical,No
1999,February,N/A,A Point Mutation Inactivating the Sulfonylurea Receptor Causes the Severe Form of Persistent Hyperinsulinemic Hypoglycemia of Infancy in Finland,Otonkoski et al.,3,N/A,"Score of 3 awarded, as experiments involving human participants included both male and female individuals. However, no results were analyzed by sex. Additionally, Human PHHI beta-cell studies and Xenopus oocyte experiments were run. The beta-cell experiments used cells taken from one of the male subjects from the human experiments. The Xenopus cells were of unspecified sex. Approximatley half the paper was dedicated to the cell studies, while the other half focused on tissues taken from living patients.","Sigrid Juselius Foundation, Foundation for Pediatric Research, Ulla Hjelt Fund, Helsinki University Central Hospital, Foundation for Diabetes Research, Juvenile Diabetes Foundation, the Academy of Finland, British Diabetic Association, the Wellcome Trust, NIH",Biomedical,Yes
