Study ID,PTSDpubs ID,"Author, Year",Outcome Assessment Type,PTSD Outcome Measure,PTSD Outcome Measure Detail,Analysis Type,Adjusted Variables in Statistical Analysis,Method for Handling Missing Data,Statistical Analysis,Arms Compared,Assessment Point,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,EPC Calculated: Comparison Standardized Effect Size,EPC Calculated: Comparison Standardized Effect Size Standard Error,EPC Calculated: Comparison Standardized Effect Size 95% CI Lower Bound,EPC Calculated: Comparison Standardized Effect Size 95% CI Upper Bound,EPC Calculated: Comparison  Standardized Effect Size Data Source,Score Difference 1 Detail,Comparison Score Difference 1 Adjusted Indicator,Score Difference 1,Comparison Score Difference 1 Calculated Indicator,Score Difference 1 Standard Deviation,Comparison Score Difference 1 SE Calculated Indicator,Score Difference 1 95% CI Lower Bound,Score Difference 1 95% CI Upper Bound,Comparison Score Difference 1 p value,Score Difference 2 Detail,Comparison Score Difference 2 Adjusted Indicator,Score Difference 2,Comparison Score Difference 2 Calculated Indicator,Score Difference 2 Standard Deviation,Comparison Score Difference 2 SE Calculated Indicator,Score Difference 2 95% CI Lower Bound,Score Difference 2 95% CI Upper Bound,Comparison Score Difference 2 p value,unique_row_identifier,Citation,Study Publication Year,Study Class,Overall ROB Assessment (Study Level),Military Status (Study Level),Race/Ethnicity Reported (Study Level),Trauma Type (Study Level),Trauma Detail (Study Level),Total N Randomized (Study Level),Treatment Focus (Study Level)
abdallah2022,1586306,"Abdallah, 2022",Structured Clinical Interview,CAPS,CAPS-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",A vs B,0,,,,,,,,,,,,,,,,,,,,endpoint mean difference,Y,,,,,,,p=0.65,p-value adjusted for multiple comparisons,,,,,,,,,abdallah2022_Structured Clinical Interview_CAPS-5_ITT_A vs B_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abdallah2022,1586306,"Abdallah, 2022",Structured Clinical Interview,CAPS,CAPS-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",A vs B vs C,0,Group x Time interaction,,,,,,p=0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdallah2022_Structured Clinical Interview_CAPS-5_ITT_A vs B vs C_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abdallah2022,1586306,"Abdallah, 2022",Structured Clinical Interview,CAPS,CAPS-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",A vs C,0,,,,,,,,,,,,,,,,,,,,endpoint mean difference,Y,-4.7,Reported,2.8,Reported,,,p=0.18,p-value adjusted for multiple comparisons,,,,,,,,,abdallah2022_Structured Clinical Interview_CAPS-5_ITT_A vs C_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abdallah2022,1586306,"Abdallah, 2022",Structured Clinical Interview,CAPS,CAPS-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",B vs C,0,,,,,,,,,,,,,,,,,,,,endpoint mean difference,Y,-6.0,Reported,2.7,Reported,,,p=0.09,p-value adjusted for multiple comparisons,,,,,,,,,abdallah2022_Structured Clinical Interview_CAPS-5_ITT_B vs C_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abdallah2022,1586306,"Abdallah, 2022",Self report,PCL,PCL-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",A vs B,0,,,,,,,,,,,,,,,,,,,,"endpoint mean difference; reported ""no difference"" in scores",Y,,,,,,,p>0.05,,,,,,,,,,abdallah2022_Self report_PCL-5_ITT_A vs B_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abdallah2022,1586306,"Abdallah, 2022",Self report,PCL,PCL-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",A vs B vs C,0,Group x Time interaction,,,,,,p=0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,abdallah2022_Self report_PCL-5_ITT_A vs B vs C_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abdallah2022,1586306,"Abdallah, 2022",Self report,PCL,PCL-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",A vs C,0,,,,,,,,,,,,,,,,,,,,endpoint mean difference,Y,-5.0,Reported,3.4,Reported,,,p=0.28,,,,,,,,,,abdallah2022_Self report_PCL-5_ITT_A vs C_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abdallah2022,1586306,"Abdallah, 2022",Self report,PCL,PCL-5,ITT,AUD diagnosis,Mixed effects models,"Mixed effects models, contrasts adjusted for multiple comparisons",B vs C,0,,,,,,,,,,,,,,,,,,,,endpoint mean difference,Y,-6.4,Reported,3.3,Reported,,,p=0.16,,,,,,,,,,abdallah2022_Self report_PCL-5_ITT_B vs C_0,"Abdallah CG, Roache JD, Gueorguieva R, et al. Dose-related effects of ketamine for antidepressant-resistant symptoms of posttraumatic stress disorder in veterans and active duty military: a double-blind, randomized, placebo-controlled multi-center clinical trial. Neuropsychopharmacology. 2022 Jul;47(8):1574-81. doi: 10.1038/s41386-022-01266-9. PMID: 35046508.",2022,Pharmacotherapy,High,Mixed,Race and Ethnicity data reported,,,158,PTSD
abraham2022,1620165,"Abraham, 2022",Self report,PCL,PCL-C,Completer,,,Hedge's g effect sizes with CI based on non-central t-distribution for comparison between groups; Cohen's d for pre-post group changes,A vs B,0,,Hedge's g,-0.45,95% CI,-1.47,0.45,,,,,,,,,-0.454,0.456,-1.349,0.44,Follow-up,,,,,,,,,,,,,,,,,,,abraham2022_Self report_PCL-C_Completer_A vs B_0,"Abraham PA, Kazman JB, Bonner JA, et al. Effects of training service dogs on service members with PTSD: A pilot-feasibility randomized study with mixed methods. Military Psychology. 2022;34(2):187-96. doi: 10.1080/08995605.2021.1984126.",2022,Other study class,High,Mixed,Race and Ethnicity data reported,,,29,PTSD
acarturk2016,45262,"Acarturk, 2016",Self report,HTQ,HTQ (Arabic version),ITT,Baseline scores,Imputed,"Linear mixed models, omega-squared for PTSD measure score, chi-square for diagnostic change",A vs B,0,Group effect,omega-squared,0.43,,,,p<0.001,Mean estimated endpoint difference,,-0.96,95% CI,-1.18,-0.74,p<0.001,,,,,,,,,,,,,,,,,,,,,,,,acarturk2016_Self report_HTQ (Arabic version)_ITT_A vs B_0,"Acarturk C, Konuk E, Cetinkaya M, et al. The efficacy of eye movement desensitization and reprocessing for post-traumatic stress disorder and depression among Syrian refugees: results of a randomized controlled trial. Psychol Med. 2016 Sep;46(12):2583-93. doi: 10.1017/S0033291716001070. PMID: 27353367.",2016,Psychotherapy,High,Community,Not reported,Terrorism/political violence/forced displacement,,98,PTSD
