Record ID,Survey Identifier,Survey Timestamp,Author First Name,Author Last Name,CEDEP Program,Specify Other Program,Date,Scientific Work Product Type,Specify Other Scientific Work Product Type,Conference Abstract Type,Other Conference Abstract Type,Name of the conference/meeting or publication the work product was accepted to:,Title of work product,Keyword(s),Keyword(s) 1,Keyword(s) 2,Co-author #1,Co-author #2,Co-author #3,Co-author #4,Co-author #5,Co-author #6,Co-author #7,Co-author #8,Co-author #9,Co-author #10,Abstract/Publication Body,Poster,Was your oral presentation a plenary or keynote session?,Slide Deck,Roundtable Materials,Roundtable Materials 1,Roundtable Materials 2,Do you have other presentation materials?,Specify Other Presentation Materials,Upload Other Presentation Materials,Do you have other presentation materials? 1,Specify Other Presentation Materials 1,Upload Other Presentation Materials 1,Complete?
1,,06/01/2023 05:08:11 PM,Jane,Yackley,Wb/Zoo,,01/29/2018 12:00:00 AM,Publication,,,,CDC Morbidity and Mortality Weekly Report,"Legionellosis Outbreak Associated with a Hotel Aquatics Facility - Tennessee, 2017",Legionella,Outbreak,Water,David Sweat,Mary-Margaret A. Fill,Katie Garman,John R. Dunn,,,,,,,Yackley_LegOB_MMWR_published.pdf,,,,,,,false,,,,,,Complete
2,,06/01/2023 05:11:39 PM,Jane,Yackley,FED,,01/15/2018 12:00:00 AM,Publication,,,,Foodborne Pathogens and Disease,Foodborne Disease Outbreaks in the United States: A Historical Overview,Foodborne,Outbreak,History,Timothy Jones,,,,,,,,,,FBD_JonesYackley2017_Published.pdf,,,,,,,false,,,,,,Complete
3,,06/01/2023 05:19:04 PM,Jane,Yackley,FED,,06/18/2017 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,"Salmonella Typhimurium Outbreak at a Fire Department Fish Fry Fundraiser, Tennessee, 2016",Salmonella,Enteric,Outbreak,Donald Perry,Steffany Cavallo,Katie Garman,John Dunn,,,,,,,CSTE Fish Fry Abstract v5_Submitted.pdf,,,Firehouse Fish Fry Outbreak_EHMeeting_10.5.2017.pdf,,,,false,,,,,,Complete
4,,06/01/2023 05:24:27 PM,Jane,Yackley,Wb/Zoo,,06/17/2018 12:00:00 AM,Conference Abstract,,Oral presentation,,CSTE,"All Shook Up - A Legionellosis Outbreak at a Graceland Hotel, Tennessee, 2017",Legionella,Outbreak,Water,David Sweat,Katie Garman,Mary-Margaret Fill,John Dunn,,,,,,,CSTE2018_LegionellaSubmission.pdf,,false,LegionellaOB_CSTE_JY_6.8.2018.pdf,,,,false,,,,,,Complete
5,,,Lindsey,Ferraro,FED,,06/19/2022 12:00:00 AM,Conference Abstract,,Poster presentation,,CSTE,Evaluating the Surveillance of Cyclospora as Case Counts Increase,Cyclospora,Surveillance System Evaluation,,Katie Garman,Allison Foster,Marcy McMillian,Mary-Margaret A. Fill,,,,,,,CSTE_Abstract.docx,Cyclo Surv Sys Eval Poster (regular size).pptx,,,,,,false,,,,,,Complete
6,,,Lindsey,Ferraro,FED,,04/26/2022 12:00:00 AM,Conference Abstract,,Poster presentation,,InFORM,Evaluating the Surveillance of Cyclospora as Case Counts Increase,Cyclospora,Surveillance System Evaluation,,Katie Garman,Allison Foster,Marcy McMillian,Mary-Margaret A. Fill,,,,,,,CSTE_Abstract.docx,Cyclo Surv Sys Eval Poster (InFORM size).pptx,,,,,,false,,,,,,Complete
7,,,Lindsey,Ferraro,FED,,06/25/2023 12:00:00 AM,Conference Abstract,,Poster presentation,,CSTE,"Surveillance Trends in Yersinia non-pestis -  Tennessee, 2010-2020",Yersinia,Surveillance Evaluation,,Katie Garman,Mugdha Golwalkar,Marcy McMillian,Mary-Margaret A. Fill,,,,,,,Yersinia abstract_final.docx,Yersinia CSTE Poster.pptx,,,,,,false,,,,,,Complete
8,,06/02/2023 10:12:47 AM,Dilani,Goonewardene,Wb/Zoo,,06/19/2022 12:00:00 AM,Invited oral presentation (national external meeting),,,,CSTE Sunday Workshop: Distilling Down Best Practices and the Latest and Greatest Guidance for Legionnaires' Disease,Public Health Investigations and Best Practices: Tennessee,legionellosis,resources,collaboration,,,,,,,,,,,,,false,LD Workshop Best Practices_June 2022.odp,,,,false,,,,,,Complete
9,,06/02/2023 10:58:06 AM,Jane,Yackley,Wb/Zoo,,04/15/2022 12:00:00 AM,Publication,,,,CDC Morbidity and Mortality Weekly Report,"Translocation of an Anteater (Tamandua tetradactyla) Infected with Rabies from Virginia to Tennessee Resulting in Multiple Human Exposures, 2021",Rabies,Anteater,,Heather N. Grome,Dilani Goonewardene,Mary-Margaret Fill,Timothy Jones,John Dunn,,,,,,mm7115a1-H.pdf,,,,,,,false,,,,,,Complete
10,,06/02/2023 11:07:47 AM,Dilani,Goonewardene,Wb/Zoo,,10/08/2020 12:00:00 AM,Other,Poster,,,Annual TN Emerging Infections Program Scientific Presentation Day,Evaluation of a Legionella Webinar Series for Healthcare Facilities,legionellosis,webinar,healthcare,Jane Yackley,Mary-Margaret Fill,,,,,,,,,Evaluation of a Legionella Webinar Series for Healthcare Facilities.pdf,,,,,,,false,,,,,,Complete
11,,06/03/2023 05:53:03 PM,Kailey,Lewis,FED,,05/26/2023 12:00:00 AM,Publication,,,,MMWR Notes from the Field,"Multistate, Multiserotype Outbreak of Salmonella Infections Linked to Cashew Brie - United States, 2021",,,,Katie Garman,DJ Irving,Steffany Cavallo,John Dunn,,,,,,,"MMWR - May 26, 2023.pdf",,,,,,,false,,,,,,Complete
