id,Title,Authors,Keywords,Published Year,Journal,DOI,States,Cities,Geography Keywords,Citation
1,Association between Statewide School Closure and COVID-19 Incidence and Mortality in the US,"Auger, K. A.; Shah, S. S.; Richardson, T.; Hartley, D.; Hall, M.; Warniment, A.; Timmons, K.; Bosse, D.; Ferris, S. A.; Brady, P. W.; Schondelmeyer, A. C.; Thomson, J. E.",COVID-19; school; school closure; mortality rates; COVID-19 incidence,2020,JAMA - Journal of the American Medical Association,10.1001/jama.2020.14348,NA,NA,State,"Auger, K. A., Shah, S. S., Richardson, T., Hartley, D., Hall, M., Warniment, A., Timmons, K., Bosse, D., Ferris, S. A., Brady, P. W., Schondelmeyer, A. C., & Thomson, J. E. (2020). Association Between Statewide School Closure and COVID-19 Incidence and Mortality in the US. JAMA, 324(9), 859. https://doi.org/10.1001/jama.2020.14348"
2,Prevalence and Risk Factors for School-Associated Transmission of SARS-CoV-2,"Nelson, S. B.; Dugdale, C. M.; Brenner, I. R.; Crawford, A.; Bilinski, A.; Cosar, D.; Pollock, N. R.; Ciaranello, A.","svi, social, vulnerability, index, level, study, data, risk, outcomes, factors, disease, compared, regression, analysis, odds, conclusion, increased, based, lower, included, low, result",2023,JAMA Health Forum,10.1001/jamahealthforum.2023.2310,Massachusetts,NA ,NA,"Nelson, S. B.; Dugdale, C. M.; Brenner, I. R.; Crawford, A.; Bilinski, A.; Cosar, D.; Pollock, N. R.; Ciaranello, A. (2023). Prevalence and Risk Factors for School-Associated Transmission of SARS-CoV-2. JAMA Health Forum, 4(8), e232310. doi:https://dx.doi.org/10.1001/jamahealthforum.2023.2310"
3,US Hospital Service Availability and New 340B Program Participation,"Owsley, K. M.; Hasnain-Wynia, R.; Rooks, R. N.; Tung, G. J.; Mays, G. P.; Lindrooth, R. C.","social, patients, study, data, care, outcomes, age, association, results, analysis, patient, conclusion, based, access, low, result, significant",2024,JAMA Health Forum,10.1001/jamahealthforum.2024.0833,NA,NA ,NA,"Owsley, K. M.; Hasnain-Wynia, R.; Rooks, R. N.; Tung, G. J.; Mays, G. P.; Lindrooth, R. C. (2024). US Hospital Service Availability and New 340B Program Participation. JAMA Health Forum, 5(5), E240833. doi:10.1001/jamahealthforum.2024.0833"
4,Association of Social and Demographic Factors With COVID-19 Incidence and Death Rates in the US,"Karmakar, M.; Lantz, P. M.; Tipirneni, R.",COVID-19[Epidemiology]; COVID-19[Ethnology]; COVID-19[Mortality]; Cross-Sectional Studies; Female; Health Status Disparities; Humans; Incidence; Male; Pandemics; Risk Factors; SARS-CoV-2; Social Class; United States[Epidemiology]; Vulnerable Populations,2021,JAMA Network Open,10.1001/jamanetworkopen.2020.36462,NA,NA,County Urban,"Karmakar, M., Lantz, P. M., & Tipirneni, R. (2021). Association of Social and Demographic Factors With COVID-19 Incidence and Death Rates in the US. JAMA Network Open, 4(1), e2036462. https://doi.org/10.1001/jamanetworkopen.2020.36462"
5,Factors Associated With Voluntary Refusal of Emergency Medical System Transport for Emergency Care in Detroit During the Early Phase of the COVID-19 Pandemic,"Harrison, N. E.; Ehrman, R. R.; Curtin, A.; Gorelick, D.; Hill, A. B.; Brennan, E.; Dunne, R.","Adult; Aged; COVID-19[Epidemiology]; COVID-19[Prevention & Control]; Communicable Disease Control[Statistics & Numerical Data]; Emergency Medical Services[Statistics & Numerical Data]; Emergency Service, Hospital[Statistics & Numerical Data]; Female; Humans; Logistic Models; Male; Michigan[Epidemiology]; Middle Aged; Odds Ratio; Patient Acceptance of Health Care[Statistics & Numerical Data]; Retrospective Studies; SARS-CoV-2; Transportation of Patients[Statistics & Numerical Data]; Treatment Refusal[Statistics & Numerical Data]",2021,JAMA Network Open,10.1001/jamanetworkopen.2021.20728,Michigan,Detroit,Tract Community,"Harrison, N. E., Ehrman, R. R., Curtin, A., Gorelick, D., Hill, A. B., Brennan, E., & Dunne, R. (2021). Factors Associated With Voluntary Refusal of Emergency Medical System Transport for Emergency Care in Detroit During the Early Phase of the COVID-19 Pandemic. JAMA Network Open, 4(8), e2120728. https://doi.org/10.1001/jamanetworkopen.2021.20728"
6,Factors Associated With COVID-19 Vaccine Receipt by Health Care Personnel at a Major Academic Hospital During the First Months of Vaccine Availability,"Green-McKenzie, J.; Shofer, F. S.; Momplaisir, F.; Kuter, B. J.; Kruse, G.; Bialal, U.; Behta, M.; O'Donnell, J.; Al-Ramahi, N.; Kasbekar, N.; Sullivan, P.; Okala, P.; Brennan, P. J.","Adult; Black or African American; Asian People; COVID-19; COVID-19 Vaccines; Cross-Sectional Studies; Ethnicity; Female; Hispanic or Latino; Hospitals; Humans; Male; Middle Aged; Native Hawaiian or Other Pacific Islander; Nurses; Patient Acceptance of Health Care; Personnel, Hospital; Philadelphia; Physicians; Racial Groups; SARS-CoV-2; Social Class; Vaccination; Vaccination Hesitancy[Ethnology]; Vaccination Hesitancy; White People;",2021,JAMA Network Open,10.1001/jamanetworkopen.2021.36582,Pennsylvania,Philadelphia,NA,"Green-McKenzie, J., Shofer, F. S., Momplaisir, F., Kuter, B. J., Kruse, G., Bilal, U., Behta, M., O'Donnell, J., Al-Ramahi, N., Kasbekar, N., Sullivan, P., Okala, P., & Brennan, P. J. (2021). Factors Associated With COVID-19 Vaccine Receipt by Health Care Personnel at a Major Academic Hospital During the First Months of Vaccine Availability. JAMA Network Open, 4(12), e2136582. https://doi.org/10.1001/jamanetworkopen.2021.36582"
7,Assessment of Regional Variability in COVID-19 Outcomes Among Patients With Cancer in the United States,"Hawley, J. E.; Sun, T.; Chism, D. D.; Duma, N.; Fu, J. C.; Gatson, N. T. N.; Mishra, S.; Nguyen, R. H.; Reid, S. A.; Serrano, O. K.; Singh, S. R. K.; Venepalli, N. K.; Bakouny, Z.; Bashir, B.; Bilen, M. A.; Caimi, P. F.; Choueiri, T. K.; Dawsey, S. J.; Fecher, L. A.; Flora, D. B.; Friese, C. R.; Glover, M. J.; Gonzalez, C. J.; Goyal, S.; Halfdanarson, T. R.; Hershman, D. L.; Khan, H.; Labaki, C.; Lewis, M. A.; McKay, R. R.; Messing, I.; Pennell, N. A.; Puc, M.; Ravindranathan, D.; Rhodes, T. D.; Rivera, A. V.; Roller, J.; Schwartz, G. K.; Shah, S. A.; Shaya, J. A.; Streckfuss, M.; Thompson, M. A.; Wulff-Burchfield, E. M.; Xie, Z.; Yu, P. P.; Warner, J. L.; Shah, D. P.; French, B.; Hwang, C.","Aged; COVID-19[Epidemiology]; Cause of Death; Censuses; Female; Health Facilities; Humans; Intensive Care Units; Male; Middle Aged; Neoplasms[Epidemiology]; Odds Ratio; Pandemics; Registries; Respiration, Artificial; Retrospective Studies; Risk Factors; Rural Population; SARS-CoV-2; Severity of Illness Index; Social Vulnerability; Spatial Analysis; United States[Epidemiology]; Urban Population",2022,JAMA Network Open,10.1001/jamanetworkopen.2021.42046,NA,NA,State Rural Urban Community,"Hawley, J. E., Sun, T., Chism, D. D., Duma, N., Fu, J. C., Gatson, N. T. N., Mishra, S., Nguyen, R. H., Reid, S. A., Serrano, O. K., Singh, S. R. K., Venepalli, N. K., Bakouny, Z., Bashir, B., Bilen, M. A., Caimi, P. F., Choueiri, T. K., Dawsey, S. J., Fecher, L. A. (2022). Assessment of Regional Variability in COVID-19 Outcomes Among Patients With Cancer in the United States. JAMA Network Open, 5(1), e2142046. https://doi.org/10.1001/jamanetworkopen.2021.42046"
8,"Assessment of a Crisis Standards of Care Scoring System for Resource Prioritization and Estimated Excess Mortality by Race, Ethnicity, and Socially Vulnerable Area During a Regional Surge in COVID-19","Riviello, E. D.; Dechen, T.; O'Donoghue, A. L.; Cocchi, M. N.; Hayes, M. M.; Molina, R. L.; Moraco, N. H.; Mosenthal, A.; Rosenblatt, M.; Talmor, N.; Walsh, D. P.; Sontag, D. N.; Stevens, J. P.",Aged; Boston; COVID-19[Diagnosis]; COVID-19[Mortality]; COVID-19[Therapy]; Critical Care; Ethnicity[Statistics & Numerical Data]; Female; Health Care Rationing[Statistics & Numerical Data]; Health Priorities; Healthcare Disparities; Hospitalization; Humans; Male; Middle Aged; Organ Dysfunction Scores; Racial Groups[Statistics & Numerical Data]; Residence Characteristics[Statistics & Numerical Data]; Retrospective Studies; Severity of Illness Index; Standard of Care; Vulnerable Populations[Statistics & Numerical Data],2022,JAMA Network Open,10.1001/jamanetworkopen.2022.1744,Massachusetts,Boston,Neighborhood,"Riviello, E. D., Dechen, T., O'Donoghue, A. L., Cocchi, M. N., Hayes, M. M., Molina, R. L., Moraco, N. H., Mosenthal, A., Rosenblatt, M., Talmor, N., Walsh, D. P., Sontag, D. N., & Stevens, J. P. (2022). Assessment of a Crisis Standards of Care Scoring System for Resource Prioritization and Estimated Excess Mortality by Race, Ethnicity, and Socially Vulnerable Area During a Regional Surge in COVID-19. JAMA Network Open, 5(3), e221744. https://doi.org/10.1001/jamanetworkopen.2022.1744"
9,Adolescent Access to Federally Funded Clinics Providing Confidential Family Planning Following Changes to Title X Funding Regulations,"Krass, P.; Tam, V.; Min, J.; Joslin, I.; Khabie, L.; Wilkinson, T. A.; Wood, S. M.",Adolescent; Confidentiality; Cross-Sectional Studies; Family Planning Services; Humans; Retrospective Studies,2022,JAMA Network Open,10.1001/jamanetworkopen.2022.17488,NA,NA,Tract State Rural,"Krass, P., Tam, V., Min, J., Joslin, I., Khabie, L., Wilkinson, T. A., & Wood, S. M. (2022). Adolescent Access to Federally Funded Clinics Providing Confidential Family Planning Following Changes to Title X Funding Regulations. JAMA Network Open, 5(6), e2217488. https://doi.org/10.1001/jamanetworkopen.2022.17488"
10,"County-Level Social Vulnerability and Breast, Cervical, and Colorectal Cancer Screening Rates in the US, 2018","Bauer, C.; Zhang, K.; Xiao, Q.; Lu, J.; Hong, Y. R.; Suk, R.",Adult; Breast Neoplasms[Diagnosis]; Breast Neoplasms[Epidemiology]; Breast Neoplasms[Prevention & Control]; Breast Neoplasms; Colorectal Neoplasms[Diagnosis]; Colorectal Neoplasms[Epidemiology]; Colorectal Neoplasms; Cross-Sectional Studies; Early Detection of Cancer; Female; Humans; Social Vulnerability; Uterine Cervical Neoplasms[Diagnosis]; Uterine Cervical Neoplasms[Epidemiology]; Uterine Cervical Neoplasms[Prevention & Control]; Uterine Cervical Neoplasms,2022,JAMA Network Open,10.1001/jamanetworkopen.2022.33429,NA,NA,County Rural Urban,"Bauer, C., Zhang, K., Xiao, Q., Lu, J., Hong, Y.-R., & Suk, R. (2022). County-Level Social Vulnerability and Breast, Cervical, and Colorectal Cancer Screening Rates in the US, 2018. JAMA Network Open, 5(9), e2233429. https://doi.org/10.1001/jamanetworkopen.2022.33429"
11,Association Between In-Person vs Telehealth Follow-up and Rates of Repeated Hospital Visits Among Patients Seen in the Emergency Department,"Shah, V. V.; Villaflores, C. W.; Chuong, L. H.; Leuchter, R. K.; Kilaru, A. S.; Vangala, S.; Sarkisian, C. A.","Adult; Humans; Female; Middle Aged; Male; Retrospective Studies; Cohort Studies; Follow-Up Studies; Emergency Service, Hospital; Telemedicine; Hospitals",2022,JAMA Network Open,10.1001/jamanetworkopen.2022.37783,NA,NA,Urban,"Shah, V. V., Villaflores, C. W., Chuong, L. H., Leuchter, R. K., Kilaru, A. S., Vangala, S., & Sarkisian, C. A. (2022). Association Between In-Person vs Telehealth Follow-up and Rates of Repeated Hospital Visits Among Patients Seen in the Emergency Department. JAMA Network Open, 5(10), e2237783. https://doi.org/10.1001/jamanetworkopen.2022.37783"
12,"Complications, Adverse Drug Events, High Costs, and Disparities in Multisystem Inflammatory Syndrome in Children vs COVID-19","Encinosa, W.; Moon, K.; Figueroa, J.; Elias, Y.","social, patients, vulnerability, health, index, study, data, care, outcomes, disease, age, covid, association, compared, disparities, socioeconomic, patient, conclusion, black, increased, related, result, white",2023,JAMA Network Open,10.1001/jamanetworkopen.2022.44975,NA,NA ,NA,"Encinosa, W.; Moon, K.; Figueroa, J.; Elias, Y. (2023). Complications, Adverse Drug Events, High Costs, and Disparities in Multisystem Inflammatory Syndrome in Children vs COVID-19. JAMA Network Open, 6(1) (no pagination). doi:https://dx.doi.org/10.1001/jamanetworkopen.2022.44975"
