#,Tracker,Status,Priority,Subject,Assignee,Updated,% Done
3889,Bug,WIP,Normal,incorrect initial widget and screen values for combo boxes and selection lists,Adrian Lungu,07/25/2019 03:30 PM,50
3584,Bug,WIP,Normal,"tooltips do not work in FWD for disabled, TEXT and FILL-IN widgets",Adrian Lungu,08/29/2019 07:29 AM,20
4492,Bug,WIP,Normal,database trigger defined with abbreviation should create a new buffer,Adrian Lungu,06/20/2020 12:10 PM,20
8249,Bug,New,Normal,Introduce a fast fill method to optimize Dataset.fill,Alexandru Donica,03/27/2024 11:39 AM,0
6923,Bug,Pending,Normal,inner transaction block reverts too much,Alexandru Lungu,08/06/2025 05:21 AM,100
10776,Bug,Pending,High,FFC.touch standing out in profiling,Alexandru Lungu,03/11/2026 08:07 AM,100
11037,Bug,Review,Normal,Record not being evicted from FFCache,Alexandru Lungu,03/11/2026 08:08 AM,100
7452,Bug,WIP,Normal,Analyze memory of the value cache from FWD-H2 and eventually increase size ,Alexandru Lungu,06/27/2023 06:40 AM,0
10830,Bug,WIP,Normal,Search filter field on Guests screen of Hotel GUI does not work.,Alexandru Lungu,11/24/2025 03:43 AM,0
9030,Bug,WIP,Normal,FIND statements should use an internal buffer cursor,Alexandru Lungu,12/12/2024 09:46 AM,50
10004,Bug,WIP,High,NativeInvoker fails if an argument is of type integerConstant,Alexandru Lungu,01/13/2026 07:40 AM,80
8214,Bug,WIP,Normal,Split Persister into SQLPersister and InMemoryPersister,Alexandru Lungu,01/30/2024 11:12 AM,50
7319,Bug,New,Normal,Fix adaptive query test suite from testcases,Alexandru Lungu,08/22/2023 05:12 AM,0
9896,Bug,New,Normal,Record reference count should account for dirty records,Alexandru Lungu,04/14/2025 07:36 AM,0
7788,Bug,New,Normal,NPE when assigning query to browse,Alexandru Lungu,02/26/2026 03:15 AM,0
3723,Bug,New,Normal,Pressing ESC key twice doesn't allow the web client to log out properly,Alexei Kaigorodov,06/17/2019 09:16 AM,0
3691,Bug,New,Normal,literal $ character in format appears on the right side of the fill-in,Alexei Kaigorodov,08/08/2019 05:22 PM,0
4130,Bug,New,Normal,FWD truncates decimal part instead of rounding when displaying,Alexei Kaigorodov,08/02/2021 05:39 AM,0
7667,Bug,WIP,Normal,Support OUTER-JOIN with PRESELECT at conversion,Andrei B?lteanu,01/11/2024 05:51 AM,30
9893,Bug,Internal Test,Normal,LegacyErrorException is not rethrown in processForBody/processBody,Andrei Plugaru,05/02/2025 02:29 PM,90
11157,Bug,Internal Test,Normal,Improve FWD server startup mode in server.sh,Andrei Plugaru,02/05/2026 04:16 AM,100
9697,Bug,WIP,Normal,Use only indexed fields when performing record snapshot,Andrei Plugaru,02/24/2025 04:30 AM,0
9060,Bug,Internal Test,Normal,Cache oftenly used values that are immutable,Artur ?colnic,03/11/2026 01:20 PM,90
8878,Bug,Internal Test,Low,Jumble sort dictates a full preselect,Artur ?colnic,07/01/2024 08:28 AM,100
8944,Bug,Review,Normal,FINALLY block transaction processing,Artur ?colnic,04/28/2025 07:58 AM,0
9683,Bug,Review,High,CompoundQuery is doing extra hydration attempts,Artur ?colnic,07/17/2025 07:57 AM,80
